,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.803921568627451,0.7192982456140351,0.7592592592592592,57.0,0.38461538461538464,0.5,0.4347826086956522,20.0,0.6623376623376623,0.6096491228070176,0.6096491228070176,0.599707531057446
1,0.7708333333333334,0.7254901960784313,0.7474747474747475,51.0,0.5172413793103449,0.5769230769230769,0.5454545454545454,26.0,0.6753246753246753,0.651206636500754,0.651206636500754,0.64695597701783
2,0.7021276595744681,0.673469387755102,0.6875000000000001,49.0,0.4666666666666667,0.5,0.4827586206896552,28.0,0.6103896103896104,0.5867346938775511,0.5867346938775511,0.5802884574739972
3,0.7291666666666666,0.6481481481481481,0.6862745098039215,54.0,0.32142857142857145,0.4090909090909091,0.36000000000000004,22.0,0.5789473684210527,0.5286195286195287,0.5286195286195287,0.5149286505444373
4,0.711864406779661,0.8076923076923077,0.7567567567567568,52.0,0.4117647058823529,0.2916666666666667,0.34146341463414637,24.0,0.6447368421052632,0.5496794871794872,0.5496794871794872,0.48536267169707553
5,0.6981132075471698,0.7872340425531915,0.74,47.0,0.5652173913043478,0.4482758620689655,0.4999999999999999,29.0,0.6578947368421053,0.6177549523110786,0.6177549523110786,0.5940522023152247
6,0.7021276595744681,0.7021276595744681,0.7021276595744681,47.0,0.5172413793103449,0.5172413793103449,0.5172413793103449,29.0,0.631578947368421,0.6096845194424065,0.6096845194424064,0.6026354446016614
7,0.7222222222222222,0.78,0.7500000000000001,50.0,0.5,0.4230769230769231,0.4583333333333333,26.0,0.6578947368421053,0.6015384615384616,0.6015384615384616,0.5744562646538028
8,0.7547169811320755,0.8,0.7766990291262137,50.0,0.5652173913043478,0.5,0.5306122448979592,26.0,0.6973684210526315,0.65,0.6500000000000001,0.6324555320336759
9,0.7073170731707317,0.5918367346938775,0.6444444444444445,49.0,0.42857142857142855,0.5555555555555556,0.48387096774193544,27.0,0.5789473684210527,0.5736961451247166,0.5736961451247166,0.573409265656776
mean,0.7302410778628247,0.7235296722109561,0.7268698832663268,50.6,0.46779642983937897,0.4721830372692441,0.4699794980516133,25.7,0.639542036910458,0.5978563547401003,0.5978563547401002,0.5844984501082872
