,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.8253968253968254,0.9122807017543859,0.8666666666666667,57.0,0.6428571428571429,0.45,0.5294117647058824,20.0,0.7922077922077922,0.6811403508771929,0.8236842105263158,0.6407232755171874
1,0.7636363636363637,0.8235294117647058,0.7924528301886793,51.0,0.5909090909090909,0.5,0.5416666666666667,26.0,0.7142857142857143,0.6617647058823529,0.7703619909502262,0.6416889479197478
2,0.7543859649122807,0.8775510204081632,0.8113207547169812,49.0,0.7,0.5,0.5833333333333334,28.0,0.7402597402597403,0.6887755102040816,0.8414723032069971,0.662401321106836
3,0.8301886792452831,0.8148148148148148,0.8224299065420562,54.0,0.5652173913043478,0.5909090909090909,0.5777777777777778,22.0,0.75,0.7028619528619529,0.8358585858585859,0.693888666488711
4,0.7966101694915254,0.9038461538461539,0.8468468468468469,52.0,0.7058823529411765,0.5,0.5853658536585366,24.0,0.7763157894736842,0.7019230769230769,0.8261217948717948,0.6722522420364822
5,0.6779661016949152,0.851063829787234,0.7547169811320754,47.0,0.5882352941176471,0.3448275862068966,0.4347826086956522,29.0,0.6578947368421053,0.5979457079970654,0.7032281731474689,0.5417289784878865
6,0.6923076923076923,0.9574468085106383,0.8035714285714286,47.0,0.8181818181818182,0.3103448275862069,0.45000000000000007,29.0,0.7105263157894737,0.6338958180484227,0.8290535583272194,0.545104269576196
7,0.7288135593220338,0.86,0.7889908256880733,50.0,0.5882352941176471,0.38461538461538464,0.46511627906976744,26.0,0.6973684210526315,0.6223076923076923,0.7923076923076923,0.5751254043851921
8,0.7166666666666667,0.86,0.7818181818181817,50.0,0.5625,0.34615384615384615,0.4285714285714286,26.0,0.6842105263157895,0.6030769230769231,0.7530769230769232,0.5456118654247795
9,0.6896551724137931,0.8163265306122449,0.7476635514018692,49.0,0.5,0.3333333333333333,0.4,27.0,0.6447368421052632,0.5748299319727891,0.7290249433106576,0.521640530957301
mean,0.747562719508738,0.8676859271498341,0.8031576472407976,50.6,0.626201838442887,0.4260184068804759,0.507067813577528,25.7,0.7167805878332193,0.6468521670151549,0.7904190175583883,0.607988631766237
