,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.8253968253968254,0.9122807017543859,0.8666666666666667,57.0,0.6428571428571429,0.45,0.5294117647058824,20.0,0.7922077922077922,0.6811403508771929,0.8087719298245614,0.6407232755171874
1,0.7586206896551724,0.8627450980392157,0.8073394495412843,51.0,0.631578947368421,0.46153846153846156,0.5333333333333333,26.0,0.7272727272727273,0.6621417797888387,0.7624434389140271,0.6310230148329526
2,0.7192982456140351,0.8367346938775511,0.7735849056603773,49.0,0.6,0.42857142857142855,0.5,28.0,0.6883116883116883,0.6326530612244898,0.8327259475218659,0.598832683719233
3,0.8541666666666666,0.7592592592592593,0.8039215686274509,54.0,0.5357142857142857,0.6818181818181818,0.6,22.0,0.7368421052631579,0.7205387205387206,0.8392255892255893,0.7194975800353797
4,0.8363636363636363,0.8846153846153846,0.8598130841121494,52.0,0.7142857142857143,0.625,0.6666666666666666,24.0,0.8026315789473685,0.7548076923076923,0.8233173076923077,0.7435621126608156
5,0.7068965517241379,0.8723404255319149,0.780952380952381,47.0,0.6666666666666666,0.41379310344827586,0.5106382978723404,29.0,0.6973684210526315,0.6430667644900954,0.7116654438738078,0.6008065012499787
6,0.6818181818181818,0.9574468085106383,0.7964601769911505,47.0,0.8,0.27586206896551724,0.4102564102564103,29.0,0.6973684210526315,0.6166544387380778,0.822083639031548,0.513929233961424
7,0.7368421052631579,0.84,0.7850467289719626,50.0,0.5789473684210527,0.4230769230769231,0.4888888888888889,26.0,0.6973684210526315,0.6315384615384615,0.788076923076923,0.596141439076848
8,0.7213114754098361,0.88,0.7927927927927928,50.0,0.6,0.34615384615384615,0.43902439024390244,26.0,0.6973684210526315,0.6130769230769231,0.7457692307692307,0.5519197266046799
9,0.6949152542372882,0.8367346938775511,0.7592592592592592,49.0,0.5294117647058824,0.3333333333333333,0.409090909090909,27.0,0.6578947368421053,0.5850340136054422,0.7252456538170824,0.5281207860194961
mean,0.7535629632148937,0.8642157065465901,0.8051051245200517,50.6,0.6299461890019165,0.4439147346905967,0.5208167821184457,25.7,0.7194634313055366,0.6540652206185934,0.7859325103746942,0.6193852485223361
