,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.8253968253968254,0.9122807017543859,0.8666666666666667,57.0,0.6428571428571429,0.45,0.5294117647058824,20.0,0.7922077922077922,0.6811403508771929,0.8078947368421052,0.6407232755171874
1,0.7543859649122807,0.8431372549019608,0.7962962962962964,51.0,0.6,0.46153846153846156,0.5217391304347826,26.0,0.7142857142857143,0.6523378582202112,0.7858220211161387,0.6238110863820975
2,0.7735849056603774,0.8367346938775511,0.803921568627451,49.0,0.6666666666666666,0.5714285714285714,0.6153846153846153,28.0,0.7402597402597403,0.7040816326530612,0.8367346938775511,0.6914724222896904
3,0.8490566037735849,0.8333333333333334,0.8411214953271028,54.0,0.6086956521739131,0.6363636363636364,0.6222222222222223,22.0,0.7763157894736842,0.7348484848484849,0.8560606060606061,0.7282190812544191
4,0.8103448275862069,0.9038461538461539,0.8545454545454546,52.0,0.7222222222222222,0.5416666666666666,0.619047619047619,24.0,0.7894736842105263,0.7227564102564102,0.8197115384615384,0.699702317656111
5,0.6964285714285714,0.8297872340425532,0.7572815533980581,47.0,0.6,0.41379310344827586,0.4897959183673469,29.0,0.6710526315789473,0.6217901687454145,0.7204695524578137,0.5859694828028409
6,0.7076923076923077,0.9787234042553191,0.8214285714285715,47.0,0.9090909090909091,0.3448275862068966,0.5000000000000001,29.0,0.7368421052631579,0.6617754952311079,0.8305209097578871,0.5809396087835278
7,0.7586206896551724,0.88,0.8148148148148148,50.0,0.6666666666666666,0.46153846153846156,0.5454545454545455,26.0,0.7368421052631579,0.6707692307692308,0.8,0.6373020054525532
8,0.7213114754098361,0.88,0.7927927927927928,50.0,0.6,0.34615384615384615,0.43902439024390244,26.0,0.6973684210526315,0.6130769230769231,0.7623076923076922,0.5519197266046799
9,0.6896551724137931,0.8163265306122449,0.7476635514018692,49.0,0.5,0.3333333333333333,0.4,27.0,0.6447368421052632,0.5748299319727891,0.7380952380952381,0.521640530957301
mean,0.7586477343928955,0.8714169306623502,0.8111316002745169,50.6,0.6516199259677521,0.45606436666781497,0.5365800180076853,25.7,0.7299384825700616,0.6637406486650825,0.795761698897657,0.630414316609431
