,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.8307692307692308,0.9473684210526315,0.8852459016393444,57.0,0.75,0.45,0.5625000000000001,20.0,0.8181818181818182,0.6986842105263158,0.8210526315789474,0.6529286250990105
1,0.7719298245614035,0.8627450980392157,0.8148148148148149,51.0,0.65,0.5,0.5652173913043479,26.0,0.7402597402597403,0.6813725490196079,0.7975113122171946,0.6567895774291853
2,0.7241379310344828,0.8571428571428571,0.7850467289719627,49.0,0.631578947368421,0.42857142857142855,0.5106382978723404,28.0,0.7012987012987013,0.6428571428571428,0.8338192419825072,0.6060915267313264
3,0.8888888888888888,0.8888888888888888,0.8888888888888888,54.0,0.7272727272727273,0.7272727272727273,0.7272727272727273,22.0,0.8421052631578947,0.8080808080808081,0.877946127946128,0.8040302522073697
4,0.8064516129032258,0.9615384615384616,0.8771929824561403,52.0,0.8571428571428571,0.5,0.631578947368421,24.0,0.8157894736842105,0.7307692307692308,0.8100961538461539,0.6933752452815364
5,0.6833333333333333,0.8723404255319149,0.766355140186916,47.0,0.625,0.3448275862068966,0.4444444444444445,29.0,0.6710526315789473,0.6085840058694058,0.698459280997799,0.5484587890506152
6,0.6716417910447762,0.9574468085106383,0.7894736842105263,47.0,0.7777777777777778,0.2413793103448276,0.368421052631579,29.0,0.6842105263157895,0.5994130594277329,0.8327219369038885,0.48073677863270886
7,0.75,0.9,0.8181818181818182,50.0,0.6875,0.4230769230769231,0.5238095238095238,26.0,0.7368421052631579,0.6615384615384615,0.7869230769230768,0.6170650134055817
8,0.7213114754098361,0.88,0.7927927927927928,50.0,0.6,0.34615384615384615,0.43902439024390244,26.0,0.6973684210526315,0.6130769230769231,0.7338461538461538,0.5519197266046799
9,0.6833333333333333,0.8367346938775511,0.7522935779816514,49.0,0.5,0.2962962962962963,0.37209302325581395,27.0,0.6447368421052632,0.5665154950869237,0.7237339380196524,0.4979170521066071
mean,0.753179742127851,0.8964205654582159,0.8185810917044765,50.6,0.6806272309561783,0.4257578117922945,0.5238363667286682,25.7,0.7351845522898155,0.6610891886252552,0.7916109854261502,0.6177847994205597
