,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.7428571428571429,0.9122807017543859,0.8188976377952757,57.0,0.2857142857142857,0.1,0.14814814814814817,20.0,0.7012987012987013,0.506140350877193,0.7087719298245615,0.3020398486548399
1,0.6911764705882353,0.9215686274509803,0.7899159663865546,51.0,0.5555555555555556,0.19230769230769232,0.28571428571428575,26.0,0.6753246753246753,0.5569381598793364,0.801659125188537,0.4209806836996984
2,0.6984126984126984,0.8979591836734694,0.7857142857142857,49.0,0.6428571428571429,0.32142857142857145,0.4285714285714286,28.0,0.6883116883116883,0.6096938775510204,0.8002915451895044,0.5372427175954361
3,0.8275862068965517,0.8888888888888888,0.8571428571428572,54.0,0.6666666666666666,0.5454545454545454,0.6,22.0,0.7894736842105263,0.7171717171717171,0.8282828282828283,0.6963106238227913
4,0.7936507936507936,0.9615384615384616,0.8695652173913043,52.0,0.8461538461538461,0.4583333333333333,0.5945945945945945,24.0,0.8026315789473685,0.7099358974358975,0.8028846153846154,0.6638562556797429
5,0.6060606060606061,0.851063829787234,0.7079646017699115,47.0,0.3,0.10344827586206896,0.15384615384615385,29.0,0.5657894736842105,0.4772560528246515,0.6294937637564197,0.2967171815720463
6,0.6428571428571429,0.9574468085106383,0.7692307692307693,47.0,0.6666666666666666,0.13793103448275862,0.2285714285714286,29.0,0.6447368421052632,0.5476889214966985,0.7538517975055026,0.3634028463841306
7,0.7121212121212122,0.94,0.810344827586207,50.0,0.7,0.2692307692307692,0.3888888888888889,26.0,0.7105263157894737,0.6046153846153846,0.7615384615384615,0.5030675134382293
8,0.6666666666666666,0.88,0.7586206896551725,50.0,0.4,0.15384615384615385,0.2222222222222222,26.0,0.631578947368421,0.5169230769230769,0.6915384615384614,0.36794648440311994
9,0.7142857142857143,0.8163265306122449,0.7619047619047619,49.0,0.55,0.4074074074074074,0.46808510638297873,27.0,0.6710526315789473,0.6118669690098262,0.7021919879062737,0.5766953055423794
mean,0.7095674654396765,0.9027073032216304,0.7945689477144146,50.6,0.5613614163614163,0.26893877833533003,0.36365607158738505,25.7,0.6880724538619276,0.5858230407784802,0.7480504516115165,0.4927200009364402
