,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.7428571428571429,0.9122807017543859,0.8188976377952757,57.0,0.2857142857142857,0.1,0.14814814814814817,20.0,0.7012987012987013,0.506140350877193,0.7078947368421052,0.3020398486548399
1,0.6956521739130435,0.9411764705882353,0.7999999999999999,51.0,0.625,0.19230769230769232,0.29411764705882354,26.0,0.6883116883116883,0.5667420814479638,0.8031674208144797,0.42543562981151706
2,0.6935483870967742,0.8775510204081632,0.7747747747747746,49.0,0.6,0.32142857142857145,0.41860465116279066,28.0,0.6753246753246753,0.5994897959183674,0.7900874635568513,0.5311025991703309
3,0.8275862068965517,0.8888888888888888,0.8571428571428572,54.0,0.6666666666666666,0.5454545454545454,0.6,22.0,0.7894736842105263,0.7171717171717171,0.835016835016835,0.6963106238227913
4,0.7936507936507936,0.9615384615384616,0.8695652173913043,52.0,0.8461538461538461,0.4583333333333333,0.5945945945945945,24.0,0.8026315789473685,0.7099358974358975,0.8145032051282052,0.6638562556797429
5,0.6,0.8297872340425532,0.6964285714285714,47.0,0.2727272727272727,0.10344827586206896,0.15,29.0,0.5526315789473685,0.46661775495231106,0.6474688187820983,0.29298474140142045
6,0.6470588235294118,0.9361702127659575,0.7652173913043478,47.0,0.625,0.1724137931034483,0.2702702702702703,29.0,0.6447368421052632,0.5542920029347029,0.7597212032281732,0.4017569630677743
7,0.7121212121212122,0.94,0.810344827586207,50.0,0.7,0.2692307692307692,0.3888888888888889,26.0,0.7105263157894737,0.6046153846153846,0.7584615384615385,0.5030675134382293
8,0.6666666666666666,0.88,0.7586206896551725,50.0,0.4,0.15384615384615385,0.2222222222222222,26.0,0.631578947368421,0.5169230769230769,0.6838461538461538,0.36794648440311994
9,0.7142857142857143,0.8163265306122449,0.7619047619047619,49.0,0.55,0.4074074074074074,0.46808510638297873,27.0,0.6710526315789473,0.6118669690098262,0.6991685563114134,0.5766953055423794
mean,0.7093427121017312,0.898371952059889,0.7927446469894566,50.6,0.5571262071262071,0.27238705419739906,0.3658867758982721,25.7,0.6867566643882433,0.5853795031286441,0.7499335931987854,0.4946765504803721
