,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.7428571428571429,0.9122807017543859,0.8188976377952757,57.0,0.2857142857142857,0.1,0.14814814814814817,20.0,0.7012987012987013,0.506140350877193,0.7140350877192982,0.3020398486548399
1,0.6857142857142857,0.9411764705882353,0.7933884297520661,51.0,0.5714285714285714,0.15384615384615385,0.24242424242424246,26.0,0.6753246753246753,0.5475113122171946,0.8107088989441931,0.3805211953235953
2,0.7142857142857143,0.9183673469387755,0.8035714285714286,49.0,0.7142857142857143,0.35714285714285715,0.4761904761904762,28.0,0.7142857142857143,0.6377551020408163,0.7951895043731779,0.5727026612409094
3,0.8305084745762712,0.9074074074074074,0.8672566371681415,54.0,0.7058823529411765,0.5454545454545454,0.6153846153846153,22.0,0.8026315789473685,0.7264309764309764,0.8350168350168351,0.7035264706814485
4,0.7936507936507936,0.9615384615384616,0.8695652173913043,52.0,0.8461538461538461,0.4583333333333333,0.5945945945945945,24.0,0.8026315789473685,0.7099358974358975,0.8020833333333334,0.6638562556797429
5,0.6,0.8297872340425532,0.6964285714285714,47.0,0.2727272727272727,0.10344827586206896,0.15,29.0,0.5526315789473685,0.46661775495231106,0.6349963316214233,0.29298474140142045
6,0.6428571428571429,0.9574468085106383,0.7692307692307693,47.0,0.6666666666666666,0.13793103448275862,0.2285714285714286,29.0,0.6447368421052632,0.5476889214966985,0.7648569332355099,0.3634028463841306
7,0.7121212121212122,0.94,0.810344827586207,50.0,0.7,0.2692307692307692,0.3888888888888889,26.0,0.7105263157894737,0.6046153846153846,0.7615384615384616,0.5030675134382293
8,0.65625,0.84,0.736842105263158,50.0,0.3333333333333333,0.15384615384615385,0.21052631578947367,26.0,0.6052631578947368,0.4969230769230769,0.6915384615384615,0.35948681370916685
9,0.7192982456140351,0.8367346938775511,0.7735849056603773,49.0,0.5789473684210527,0.4074074074074074,0.47826086956521735,27.0,0.6842105263157895,0.6220710506424793,0.7195767195767195,0.5838594970714134
mean,0.7097543011676598,0.9044739124658008,0.7953698792335826,50.6,0.5675139411671919,0.26866405306060476,0.3646845448095789,25.7,0.6893540669856459,0.5865689827632028,0.7529540566897414,0.4929499236338765
