,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.7397260273972602,0.9473684210526315,0.8307692307692308,57.0,0.25,0.05,0.08333333333333334,20.0,0.7142857142857143,0.4986842105263158,0.7228070175438597,0.2176428750330035
1,0.6944444444444444,0.9803921568627451,0.8130081300813009,51.0,0.8,0.15384615384615385,0.25806451612903225,26.0,0.7012987012987013,0.5671191553544495,0.8491704374057316,0.3883678186903087
2,0.6666666666666666,0.9387755102040817,0.7796610169491526,49.0,0.625,0.17857142857142858,0.2777777777777778,28.0,0.6623376623376623,0.5586734693877551,0.8097667638483965,0.4094367887293649
3,0.7428571428571429,0.9629629629629629,0.8387096774193549,54.0,0.6666666666666666,0.18181818181818182,0.28571428571428575,22.0,0.7368421052631579,0.5723905723905723,0.8425925925925926,0.4184306096405652
4,0.7428571428571429,1.0,0.8524590163934427,52.0,1.0,0.25,0.4,24.0,0.7631578947368421,0.625,0.8409455128205129,0.5
5,0.6376811594202898,0.9361702127659575,0.7586206896551724,47.0,0.5714285714285714,0.13793103448275862,0.2222222222222222,29.0,0.631578947368421,0.5370506236243581,0.702494497432135,0.35934235194136627
6,0.6266666666666667,1.0,0.7704918032786886,47.0,1.0,0.034482758620689655,0.06666666666666667,29.0,0.631578947368421,0.5172413793103449,0.7846661775495231,0.18569533817705186
7,0.6857142857142857,0.96,0.7999999999999999,50.0,0.6666666666666666,0.15384615384615385,0.25,26.0,0.6842105263157895,0.5569230769230769,0.7538461538461538,0.38430756913220915
8,0.6621621621621622,0.98,0.7903225806451613,50.0,0.5,0.038461538461538464,0.07142857142857144,26.0,0.6578947368421053,0.5092307692307693,0.6492307692307693,0.1941450686788302
9,0.6764705882352942,0.9387755102040817,0.7863247863247864,49.0,0.625,0.18518518518518517,0.2857142857142857,27.0,0.6710526315789473,0.5619803476946335,0.7354497354497354,0.41695001703376816
mean,0.6875246286421356,0.964444477405246,0.802774493477703,50.6,0.6704761904761904,0.13641424348320902,0.2267036476030787,25.7,0.6854237867395764,0.5504293604442274,0.7690969657719411,0.3627174709974631
