,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.8620689655172413,0.43859649122807015,0.5813953488372092,57.0,0.3333333333333333,0.8,0.47058823529411764,20.0,0.5324675324675324,0.6192982456140351,0.6614035087719299,0.5923488777590924
1,0.9230769230769231,0.47058823529411764,0.6233766233766235,51.0,0.47058823529411764,0.9230769230769231,0.6233766233766235,26.0,0.6233766233766234,0.6968325791855203,0.7058823529411764,0.6590820436573077
2,0.7916666666666666,0.3877551020408163,0.5205479452054794,49.0,0.4339622641509434,0.8214285714285714,0.5679012345679013,28.0,0.5454545454545454,0.6045918367346939,0.6311953352769679,0.564369665674483
3,0.92,0.42592592592592593,0.5822784810126582,54.0,0.39215686274509803,0.9090909090909091,0.547945205479452,22.0,0.5657894736842105,0.6675084175084175,0.8055555555555556,0.6222582962125834
4,0.8260869565217391,0.36538461538461536,0.5066666666666666,52.0,0.37735849056603776,0.8333333333333334,0.5194805194805195,24.0,0.5131578947368421,0.5993589743589743,0.7243589743589743,0.5518035696578806
5,0.7407407407407407,0.425531914893617,0.5405405405405406,47.0,0.4489795918367347,0.7586206896551724,0.564102564102564,29.0,0.5526315789473685,0.5920763022743947,0.6801173881144533,0.568170145948273
6,0.92,0.48936170212765956,0.6388888888888888,47.0,0.5294117647058824,0.9310344827586207,0.6749999999999999,29.0,0.6578947368421053,0.7101980924431401,0.8224504768892149,0.6749908289912565
7,0.9090909090909091,0.4,0.5555555555555556,50.0,0.4444444444444444,0.9230769230769231,0.6,26.0,0.5789473684210527,0.6615384615384616,0.7300000000000001,0.6076436202502
8,0.8928571428571429,0.5,0.6410256410256411,50.0,0.4791666666666667,0.8846153846153846,0.6216216216216216,26.0,0.631578947368421,0.6923076923076923,0.7461538461538462,0.6650621717611762
9,0.9411764705882353,0.32653061224489793,0.48484848484848486,49.0,0.4406779661016949,0.9629629629629629,0.6046511627906976,27.0,0.5526315789473685,0.6447467876039304,0.7256235827664399,0.5607467216716093
mean,0.8726764775059598,0.422967459913972,0.5697765294258228,50.6,0.4350079619844953,0.8747240179998801,0.581053098166781,25.7,0.575393028024607,0.648845738956926,0.7232741020828558,0.6082596452331461
