,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.8620689655172413,0.43859649122807015,0.5813953488372092,57.0,0.3333333333333333,0.8,0.47058823529411764,20.0,0.5324675324675324,0.6192982456140351,0.6640350877192983,0.5923488777590924
1,0.9230769230769231,0.47058823529411764,0.6233766233766235,51.0,0.47058823529411764,0.9230769230769231,0.6233766233766235,26.0,0.6233766233766234,0.6968325791855203,0.7073906485671191,0.6590820436573077
2,0.8,0.40816326530612246,0.5405405405405406,49.0,0.4423076923076923,0.8214285714285714,0.575,28.0,0.5584415584415584,0.6147959183673469,0.6479591836734694,0.5790310595555554
3,0.92,0.42592592592592593,0.5822784810126582,54.0,0.39215686274509803,0.9090909090909091,0.547945205479452,22.0,0.5657894736842105,0.6675084175084175,0.8114478114478115,0.6222582962125834
4,0.8571428571428571,0.34615384615384615,0.4931506849315069,52.0,0.38181818181818183,0.875,0.5316455696202532,24.0,0.5131578947368421,0.6105769230769231,0.7323717948717948,0.5503495392790071
5,0.75,0.44680851063829785,0.56,47.0,0.4583333333333333,0.7586206896551724,0.5714285714285715,29.0,0.5657894736842105,0.6027146001467352,0.6889214966984593,0.5822011512220033
6,0.9166666666666666,0.46808510638297873,0.619718309859155,47.0,0.5192307692307693,0.9310344827586207,0.6666666666666666,29.0,0.6447368421052632,0.6995597945707996,0.822450476889215,0.6601540539209697
7,0.9130434782608695,0.42,0.5753424657534246,50.0,0.4528301886792453,0.9230769230769231,0.6075949367088607,26.0,0.5921052631578947,0.6715384615384615,0.7384615384615385,0.622649425995325
8,0.8928571428571429,0.5,0.6410256410256411,50.0,0.4791666666666667,0.8846153846153846,0.6216216216216216,26.0,0.631578947368421,0.6923076923076923,0.7353846153846154,0.6650621717611762
9,0.8947368421052632,0.3469387755102041,0.5,49.0,0.43859649122807015,0.9259259259259259,0.5952380952380952,27.0,0.5526315789473685,0.636432350718065,0.7309145880574451,0.5667800340113373
mean,0.8729592875626965,0.42712601564395625,0.5735987037102492,50.6,0.4368361754636507,0.875186980962843,0.5827844298429598,25.7,0.5780075187969925,0.6511564983033998,0.7279337241770766,0.6114042264509807
