,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.8620689655172413,0.43859649122807015,0.5813953488372092,57.0,0.3333333333333333,0.8,0.47058823529411764,20.0,0.5324675324675324,0.6192982456140351,0.6710526315789475,0.5923488777590924
1,0.9230769230769231,0.47058823529411764,0.6233766233766235,51.0,0.47058823529411764,0.9230769230769231,0.6233766233766235,26.0,0.6233766233766234,0.6968325791855203,0.7013574660633484,0.6590820436573077
2,0.7916666666666666,0.3877551020408163,0.5205479452054794,49.0,0.4339622641509434,0.8214285714285714,0.5679012345679013,28.0,0.5454545454545454,0.6045918367346939,0.6217201166180758,0.564369665674483
3,0.9166666666666666,0.4074074074074074,0.5641025641025641,54.0,0.38461538461538464,0.9090909090909091,0.5405405405405405,22.0,0.5526315789473685,0.6582491582491582,0.8122895622895623,0.6085806194501846
4,0.8181818181818182,0.34615384615384615,0.4864864864864865,52.0,0.37037037037037035,0.8333333333333334,0.5128205128205128,24.0,0.5,0.5897435897435898,0.75,0.5370861555295747
5,0.7692307692307693,0.425531914893617,0.547945205479452,47.0,0.46,0.7931034482758621,0.5822784810126583,29.0,0.5657894736842105,0.6093176815847395,0.6757153338224504,0.5809396087835278
6,0.88,0.46808510638297873,0.6111111111111112,47.0,0.5098039215686274,0.896551724137931,0.65,29.0,0.631578947368421,0.6823184152604549,0.8165810711665444,0.6478136376852115
7,0.9090909090909091,0.4,0.5555555555555556,50.0,0.4444444444444444,0.9230769230769231,0.6,26.0,0.5789473684210527,0.6615384615384616,0.7361538461538462,0.6076436202502
8,0.8888888888888888,0.48,0.6233766233766234,50.0,0.46938775510204084,0.8846153846153846,0.6133333333333333,26.0,0.618421052631579,0.6823076923076923,0.7461538461538462,0.6516251872168421
9,0.9444444444444444,0.3469387755102041,0.5074626865671642,49.0,0.4482758620689655,0.9629629629629629,0.6117647058823529,27.0,0.5657894736842105,0.6549508692365835,0.7218442932728647,0.5780044906677182
mean,0.8703316051764327,0.4171056878911058,0.5639424379350216,50.6,0.43247815709482273,0.8747240179998801,0.5787919244301442,25.7,0.5714456596035543,0.645914852945493,0.7252868167119486,0.6040301012720409
