,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.92,0.40350877192982454,0.5609756097560975,57.0,0.34615384615384615,0.9,0.5,20.0,0.5324675324675324,0.6517543859649123,0.6657894736842106,0.6026258331144144
1,0.9473684210526315,0.35294117647058826,0.5142857142857143,51.0,0.43103448275862066,0.9615384615384616,0.5952380952380952,26.0,0.5584415584415584,0.6572398190045249,0.6515837104072397,0.5825517280354631
2,0.8823529411764706,0.30612244897959184,0.45454545454545453,49.0,0.43333333333333335,0.9285714285714286,0.5909090909090909,28.0,0.5324675324675324,0.6173469387755102,0.5962099125364431,0.5331571623515564
3,0.9473684210526315,0.3333333333333333,0.4931506849315068,54.0,0.3684210526315789,0.9545454545454546,0.5316455696202531,22.0,0.5131578947368421,0.6439393939393939,0.75,0.5640760748177662
4,0.9473684210526315,0.34615384615384615,0.5070422535211268,52.0,0.40350877192982454,0.9583333333333334,0.5679012345679012,24.0,0.5394736842105263,0.6522435897435898,0.7363782051282052,0.5759607358412283
5,0.8421052631578947,0.3404255319148936,0.48484848484848486,47.0,0.45614035087719296,0.896551724137931,0.6046511627906976,29.0,0.5526315789473685,0.6184886280264124,0.6845194424064565,0.5524573264776839
6,1.0,0.40425531914893614,0.5757575757575757,47.0,0.5087719298245614,1.0,0.6744186046511628,29.0,0.631578947368421,0.7021276595744681,0.8129126925898753,0.6358107573397419
7,1.0,0.32,0.48484848484848486,50.0,0.43333333333333335,1.0,0.6046511627906976,26.0,0.5526315789473685,0.66,0.7184615384615385,0.565685424949238
8,0.8636363636363636,0.38,0.5277777777777778,50.0,0.42592592592592593,0.8846153846153846,0.575,26.0,0.5526315789473685,0.6323076923076922,0.77,0.5797877595757314
9,0.9473684210526315,0.3673469387755102,0.5294117647058824,49.0,0.45614035087719296,0.9629629629629629,0.6190476190476191,27.0,0.5789473684210527,0.6651549508692366,0.7603930461073318,0.5947617141331808
mean,0.9297568252181255,0.35540873667065237,0.5142430025529865,50.6,0.42627633776454105,0.9447118749704957,0.5874715983177093,25.7,0.5544429254955571,0.6500603058205741,0.71462480213213,0.5794470243266654
