,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.8679245283018868,0.8070175438596491,0.8363636363636363,57.0,0.5416666666666666,0.65,0.5909090909090908,20.0,0.7662337662337663,0.7285087719298246,0.724561403508772,0.7242661137377421
1,0.803921568627451,0.803921568627451,0.8039215686274509,51.0,0.6153846153846154,0.6153846153846154,0.6153846153846154,26.0,0.7402597402597403,0.7096530920060332,0.8450226244343891,0.7033640346998137
2,0.825,0.673469387755102,0.7415730337078652,49.0,0.5675675675675675,0.75,0.6461538461538462,28.0,0.7012987012987013,0.7117346938775511,0.8104956268221575,0.7107053122190142
3,0.8958333333333334,0.7962962962962963,0.8431372549019608,54.0,0.6071428571428571,0.7727272727272727,0.68,22.0,0.7894736842105263,0.7845117845117845,0.8535353535353536,0.784423269236619
4,0.8444444444444444,0.7307692307692307,0.7835051546391751,52.0,0.5483870967741935,0.7083333333333334,0.6181818181818182,24.0,0.7236842105263158,0.719551282051282,0.8169070512820513,0.7194638317026125
5,0.68,0.723404255319149,0.7010309278350516,47.0,0.5,0.4482758620689655,0.4727272727272727,29.0,0.618421052631579,0.5858400586940573,0.6892883345561261,0.5694599776784577
6,0.6833333333333333,0.8723404255319149,0.766355140186916,47.0,0.625,0.3448275862068966,0.4444444444444445,29.0,0.6710526315789473,0.6085840058694058,0.7857666911225238,0.5484587890506152
7,0.76,0.76,0.76,50.0,0.5384615384615384,0.5384615384615384,0.5384615384615384,26.0,0.6842105263157895,0.6492307692307693,0.7561538461538462,0.6397114734243629
8,0.6923076923076923,0.72,0.7058823529411765,50.0,0.4166666666666667,0.38461538461538464,0.4,26.0,0.6052631578947368,0.5523076923076923,0.6757692307692308,0.5262348115842176
9,0.75,0.6122448979591837,0.6741573033707865,49.0,0.4722222222222222,0.6296296296296297,0.5396825396825397,27.0,0.618421052631579,0.6209372637944066,0.7312925170068028,0.6208764195431093
mean,0.7802764900348141,0.7499463606117978,0.7648108427152145,50.6,0.5432499230886327,0.5842255222427637,0.5629931389441669,25.7,0.6918318523581681,0.6670859414272805,0.7688792679191254,0.6619197868189828
