,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.7659574468085106,0.631578947368421,0.6923076923076923,57.0,0.3,0.45,0.36000000000000004,20.0,0.5844155844155844,0.5407894736842105,0.5460526315789475,0.5331139899831832
1,0.7,0.6862745098039216,0.693069306930693,51.0,0.4074074074074074,0.4230769230769231,0.4150943396226415,26.0,0.5974025974025974,0.5546757164404224,0.5377073906485672,0.5388384804317217
2,0.68,0.6938775510204082,0.686868686868687,49.0,0.4444444444444444,0.42857142857142855,0.43636363636363634,28.0,0.5974025974025974,0.5612244897959183,0.5674198250728864,0.5453220088117301
3,0.8604651162790697,0.6851851851851852,0.7628865979381443,54.0,0.48484848484848486,0.7272727272727273,0.5818181818181818,22.0,0.6973684210526315,0.7062289562289563,0.7079124579124579,0.7059153620063091
4,0.8085106382978723,0.7307692307692307,0.7676767676767676,52.0,0.5172413793103449,0.625,0.5660377358490567,24.0,0.6973684210526315,0.6778846153846154,0.6706730769230769,0.6758185919540607
5,0.7115384615384616,0.7872340425531915,0.7474747474747475,47.0,0.5833333333333334,0.4827586206896552,0.5283018867924529,29.0,0.6710526315789473,0.6349963316214233,0.623991195891416,0.6164771046380555
6,0.7346938775510204,0.7659574468085106,0.7499999999999999,47.0,0.5925925925925926,0.5517241379310345,0.5714285714285714,29.0,0.6842105263157895,0.6588407923697726,0.6764490095377842,0.6500747741854638
7,0.7727272727272727,0.68,0.7234042553191491,50.0,0.5,0.6153846153846154,0.5517241379310345,26.0,0.6578947368421053,0.6476923076923078,0.64,0.646886032050112
8,0.8043478260869565,0.74,0.7708333333333333,50.0,0.5666666666666667,0.6538461538461539,0.6071428571428571,26.0,0.7105263157894737,0.696923076923077,0.6969230769230769,0.6955905073002031
9,0.8,0.6530612244897959,0.7191011235955055,49.0,0.5277777777777778,0.7037037037037037,0.6031746031746033,27.0,0.6710526315789473,0.6783824640967497,0.6851851851851851,0.6779097302877023
mean,0.7638240639289164,0.7053938137998664,0.7334470641751788,50.6,0.4924312086381052,0.5661338310476243,0.5267167462028941,25.7,0.6568694463431305,0.6357638224237452,0.6352313849673398,0.6319393184506032
