,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.16666666666666666,0.3333333333333333,0.2222222222222222,3.0,0.8461538461538461,0.6875,0.7586206896551724,16.0,0.631578947368421,0.5104166666666666,0.5104166666666667,0.47871355387816905
1,0.2222222222222222,0.3333333333333333,0.26666666666666666,6.0,0.6,0.46153846153846156,0.5217391304347826,13.0,0.42105263157894735,0.39743589743589747,0.39743589743589747,0.3922322702763681
2,1.0,0.36363636363636365,0.5333333333333333,11.0,0.5333333333333333,1.0,0.6956521739130436,8.0,0.631578947368421,0.6818181818181819,0.6818181818181819,0.6030226891555273
3,0.5555555555555556,0.5,0.5263157894736842,10.0,0.5,0.5555555555555556,0.5263157894736842,9.0,0.5263157894736842,0.5277777777777778,0.5277777777777778,0.5270462766947299
4,0.375,0.375,0.375,8.0,0.5454545454545454,0.5454545454545454,0.5454545454545454,11.0,0.47368421052631576,0.4602272727272727,0.4602272727272727,0.45226701686664544
5,0.75,0.42857142857142855,0.5454545454545454,7.0,0.7142857142857143,0.9090909090909091,0.8,11.0,0.7222222222222222,0.6688311688311688,0.6688311688311688,0.6241877839323592
6,0.4,0.3333333333333333,0.3636363636363636,6.0,0.6923076923076923,0.75,0.7199999999999999,12.0,0.6111111111111112,0.5416666666666666,0.5416666666666667,0.5
7,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0,0.7333333333333333,0.9166666666666666,0.8148148148148148,12.0,0.7222222222222222,0.625,0.625,0.5527707983925666
8,0.6666666666666666,0.5,0.5714285714285715,4.0,0.8666666666666667,0.9285714285714286,0.896551724137931,14.0,0.8333333333333334,0.7142857142857143,0.7142857142857143,0.6813851438692469
9,1.0,0.625,0.7692307692307693,8.0,0.7692307692307693,1.0,0.8695652173913044,10.0,0.8333333333333334,0.8125,0.8125,0.7905694150420949
mean,0.5802777777777778,0.4125541125541126,0.48224877943023525,6.9,0.68007659007659,0.7754377566877567,0.7246332769679407,11.6,0.6406432748538011,0.5939959346209347,0.5939959346209347,0.5656059012698412
