,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.0,0.0,0.0,3.0,0.8125,0.8125,0.8125,16.0,0.6842105263157895,0.40625,0.5833333333333334,0.0
1,0.25,0.16666666666666666,0.2,6.0,0.6666666666666666,0.7692307692307693,0.7142857142857142,13.0,0.5789473684210527,0.46794871794871795,0.5128205128205128,0.35805743701971643
2,0.5,0.18181818181818182,0.26666666666666666,11.0,0.4,0.75,0.5217391304347827,8.0,0.42105263157894735,0.46590909090909094,0.5909090909090908,0.3692744729379982
3,0.6666666666666666,0.4,0.5,10.0,0.5384615384615384,0.7777777777777778,0.6363636363636364,9.0,0.5789473684210527,0.5888888888888889,0.6111111111111112,0.5577733510227171
4,0.5,0.25,0.3333333333333333,8.0,0.6,0.8181818181818182,0.6923076923076923,11.0,0.5789473684210527,0.5340909090909092,0.5681818181818181,0.45226701686664544
5,1.0,0.14285714285714285,0.25,7.0,0.6470588235294118,1.0,0.7857142857142858,11.0,0.6666666666666666,0.5714285714285714,0.6363636363636364,0.3779644730092272
6,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0,0.7333333333333333,0.9166666666666666,0.8148148148148148,12.0,0.7222222222222222,0.625,0.7916666666666666,0.5527707983925666
7,0.4,0.3333333333333333,0.3636363636363636,6.0,0.6923076923076923,0.75,0.7199999999999999,12.0,0.6111111111111112,0.5416666666666666,0.625,0.5
8,0.25,0.25,0.25,4.0,0.7857142857142857,0.7857142857142857,0.7857142857142857,14.0,0.6666666666666666,0.5178571428571428,0.5892857142857143,0.44320263021395917
9,0.75,0.375,0.5,8.0,0.6428571428571429,0.9,0.75,10.0,0.6666666666666666,0.6375,0.7875,0.5809475019311126
mean,0.49833333333333324,0.2433008658008658,0.3269669376061017,6.9,0.6518899482870071,0.8280071317571316,0.7294690064343268,11.6,0.6175438596491228,0.5356539987789988,0.6296171883671884,0.44883722221513855
