,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,0.875,0.875,0.875,16.0,0.7894736842105263,0.6041666666666666,0.7291666666666666,0.5400617248673216
1,0.25,0.16666666666666666,0.2,6.0,0.6666666666666666,0.7692307692307693,0.7142857142857142,13.0,0.5789473684210527,0.46794871794871795,0.5128205128205128,0.35805743701971643
2,1.0,0.18181818181818182,0.3076923076923077,11.0,0.47058823529411764,1.0,0.6399999999999999,8.0,0.5263157894736842,0.5909090909090909,0.5909090909090908,0.4264014327112209
3,0.6666666666666666,0.4,0.5,10.0,0.5384615384615384,0.7777777777777778,0.6363636363636364,9.0,0.5789473684210527,0.5888888888888889,0.5555555555555556,0.5577733510227171
4,0.6666666666666666,0.25,0.36363636363636365,8.0,0.625,0.9090909090909091,0.7407407407407406,11.0,0.631578947368421,0.5795454545454546,0.6079545454545454,0.4767312946227962
5,0.5,0.14285714285714285,0.22222222222222224,7.0,0.625,0.9090909090909091,0.7407407407407406,11.0,0.6111111111111112,0.525974025974026,0.6623376623376623,0.3603749850782236
6,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0,0.7333333333333333,0.9166666666666666,0.8148148148148148,12.0,0.7222222222222222,0.625,0.75,0.5527707983925666
7,0.4,0.3333333333333333,0.3636363636363636,6.0,0.6923076923076923,0.75,0.7199999999999999,12.0,0.6111111111111112,0.5416666666666666,0.6805555555555556,0.5
8,0.3333333333333333,0.25,0.28571428571428575,4.0,0.8,0.8571428571428571,0.8275862068965518,14.0,0.7222222222222222,0.5535714285714286,0.6428571428571428,0.4629100498862757
9,1.0,0.25,0.4,8.0,0.625,1.0,0.7692307692307693,10.0,0.6666666666666666,0.625,0.7625,0.5
mean,0.5816666666666667,0.2641341991341991,0.3632960555498686,6.9,0.6651357466063348,0.8763999888999887,0.756291206899999,11.6,0.6438596491228071,0.5702670940170941,0.6494656732156732,0.4811311766964593
