,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,0.875,0.875,0.875,16.0,0.7894736842105263,0.6041666666666666,0.6458333333333334,0.5400617248673216
1,0.2,0.16666666666666666,0.1818181818181818,6.0,0.6428571428571429,0.6923076923076923,0.6666666666666666,13.0,0.5263157894736842,0.42948717948717946,0.5256410256410257,0.3396831102433787
2,1.0,0.18181818181818182,0.3076923076923077,11.0,0.47058823529411764,1.0,0.6399999999999999,8.0,0.5263157894736842,0.5909090909090909,0.6022727272727272,0.4264014327112209
3,0.8,0.4,0.5333333333333333,10.0,0.5714285714285714,0.8888888888888888,0.6956521739130435,9.0,0.631578947368421,0.6444444444444444,0.6,0.5962847939999439
4,0.6,0.375,0.4615384615384615,8.0,0.6428571428571429,0.8181818181818182,0.7200000000000001,11.0,0.631578947368421,0.5965909090909092,0.6818181818181819,0.5539117094069973
5,0.5,0.14285714285714285,0.22222222222222224,7.0,0.625,0.9090909090909091,0.7407407407407406,11.0,0.6111111111111112,0.525974025974026,0.6493506493506493,0.3603749850782236
6,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0,0.7333333333333333,0.9166666666666666,0.8148148148148148,12.0,0.7222222222222222,0.625,0.75,0.5527707983925666
7,0.4,0.3333333333333333,0.3636363636363636,6.0,0.6923076923076923,0.75,0.7199999999999999,12.0,0.6111111111111112,0.5416666666666666,0.6944444444444444,0.5
8,0.25,0.25,0.25,4.0,0.7857142857142857,0.7857142857142857,0.7857142857142857,14.0,0.6666666666666666,0.5178571428571428,0.625,0.44320263021395917
9,1.0,0.25,0.4,8.0,0.625,1.0,0.7692307692307693,10.0,0.6666666666666666,0.625,0.7749999999999999,0.5
mean,0.575,0.2766341991341991,0.37355161327216574,6.9,0.6664086403792285,0.863585026085026,0.752291379630529,11.6,0.6383040935672516,0.5701096126096126,0.6549360361860362,0.4887710630502972
