,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,0.875,0.875,0.875,16.0,0.7894736842105263,0.6041666666666666,0.7083333333333334,0.5400617248673216
1,0.25,0.16666666666666666,0.2,6.0,0.6666666666666666,0.7692307692307693,0.7142857142857142,13.0,0.5789473684210527,0.46794871794871795,0.5128205128205129,0.35805743701971643
2,0.3333333333333333,0.09090909090909091,0.14285714285714288,11.0,0.375,0.75,0.5,8.0,0.3684210526315789,0.42045454545454547,0.6022727272727273,0.26111648393354675
3,0.8,0.4,0.5333333333333333,10.0,0.5714285714285714,0.8888888888888888,0.6956521739130435,9.0,0.631578947368421,0.6444444444444444,0.5555555555555556,0.5962847939999439
4,0.3333333333333333,0.125,0.18181818181818182,8.0,0.5625,0.8181818181818182,0.6666666666666666,11.0,0.5263157894736842,0.4715909090909091,0.7159090909090908,0.31980107453341566
5,0.5,0.14285714285714285,0.22222222222222224,7.0,0.625,0.9090909090909091,0.7407407407407406,11.0,0.6111111111111112,0.525974025974026,0.8701298701298701,0.3603749850782236
6,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0,0.7333333333333333,0.9166666666666666,0.8148148148148148,12.0,0.7222222222222222,0.625,0.736111111111111,0.5527707983925666
7,0.5,0.5,0.5,6.0,0.75,0.75,0.75,12.0,0.6666666666666666,0.625,0.7083333333333333,0.6123724356957945
8,0.2,0.25,0.22222222222222224,4.0,0.7692307692307693,0.7142857142857143,0.7407407407407408,14.0,0.6111111111111112,0.48214285714285715,0.6428571428571428,0.4225771273642583
9,0.5,0.25,0.3333333333333333,8.0,0.5714285714285714,0.8,0.6666666666666666,10.0,0.5555555555555556,0.525,0.7749999999999999,0.4472135954999579
mean,0.4416666666666666,0.2592099567099567,0.3266891596279654,6.9,0.6499587912087912,0.8191344766344766,0.7248057913333116,11.6,0.606140350877193,0.5391722166722167,0.6827322677322677,0.460790421154841
