,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.0,0.0,0.0,3.0,0.8421052631578947,1.0,0.9142857142857143,16.0,0.8421052631578947,0.5,0.5625,0.0
1,1.0,0.16666666666666666,0.2857142857142857,6.0,0.7222222222222222,1.0,0.8387096774193548,13.0,0.7368421052631579,0.5833333333333334,0.47435897435897434,0.408248290463863
2,0.5,0.09090909090909091,0.15384615384615385,11.0,0.4117647058823529,0.875,0.56,8.0,0.42105263157894735,0.48295454545454547,0.6704545454545454,0.2820380374088831
3,0.6666666666666666,0.2,0.30769230769230765,10.0,0.5,0.8888888888888888,0.64,9.0,0.5263157894736842,0.5444444444444444,0.6333333333333333,0.4216370213557839
4,1.0,0.25,0.4,8.0,0.6470588235294118,1.0,0.7857142857142858,11.0,0.6842105263157895,0.625,0.6477272727272727,0.5
5,0.0,0.0,0.0,7.0,0.6111111111111112,1.0,0.7586206896551725,11.0,0.6111111111111112,0.5,0.6493506493506493,0.0
6,0.0,0.0,0.0,6.0,0.6666666666666666,1.0,0.8,12.0,0.6666666666666666,0.5,0.7916666666666666,0.0
7,0.0,0.0,0.0,6.0,0.6470588235294118,0.9166666666666666,0.7586206896551724,12.0,0.6111111111111112,0.4583333333333333,0.7222222222222222,0.0
8,0.0,0.0,0.0,4.0,0.7647058823529411,0.9285714285714286,0.8387096774193549,14.0,0.7222222222222222,0.4642857142857143,0.4285714285714286,0.0
9,1.0,0.125,0.2222222222222222,8.0,0.5882352941176471,1.0,0.7407407407407407,10.0,0.6111111111111112,0.5625,0.825,0.3535533905932738
mean,0.41666666666666663,0.08325757575757575,0.1387836540890034,6.9,0.6400928792569659,0.9609126984126984,0.7683588170090345,11.6,0.6432748538011696,0.522085137085137,0.6405185092685093,0.28284847849071376
