,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.2,0.6666666666666666,0.30769230769230765,3.0,0.8888888888888888,0.5,0.64,16.0,0.5263157894736842,0.5833333333333333,0.5416666666666667,0.5773502691896257
1,0.42857142857142855,1.0,0.6,6.0,1.0,0.38461538461538464,0.5555555555555556,13.0,0.5789473684210527,0.6923076923076923,0.7692307692307693,0.6201736729460423
2,0.6923076923076923,0.8181818181818182,0.7500000000000001,11.0,0.6666666666666666,0.5,0.5714285714285715,8.0,0.6842105263157895,0.6590909090909092,0.625,0.6396021490668313
3,0.6153846153846154,0.8,0.6956521739130435,10.0,0.6666666666666666,0.4444444444444444,0.5333333333333333,9.0,0.631578947368421,0.6222222222222222,0.5,0.5962847939999439
4,0.38461538461538464,0.625,0.4761904761904762,8.0,0.5,0.2727272727272727,0.3529411764705882,11.0,0.42105263157894735,0.44886363636363635,0.4318181818181818,0.41286141192238524
5,0.4,0.5714285714285714,0.47058823529411764,7.0,0.625,0.45454545454545453,0.5263157894736842,11.0,0.5,0.512987012987013,0.6363636363636364,0.5096471914376255
6,0.42857142857142855,1.0,0.6,6.0,1.0,0.3333333333333333,0.5,12.0,0.5555555555555556,0.6666666666666666,0.8333333333333333,0.5773502691896257
7,0.5,0.6666666666666666,0.5714285714285715,6.0,0.8,0.6666666666666666,0.7272727272727272,12.0,0.6666666666666666,0.6666666666666666,0.625,0.6666666666666666
8,0.36363636363636365,1.0,0.5333333333333333,4.0,1.0,0.5,0.6666666666666666,14.0,0.6111111111111112,0.75,0.9285714285714286,0.7071067811865476
9,0.5384615384615384,0.875,0.6666666666666667,8.0,0.8,0.4,0.5333333333333333,10.0,0.6111111111111112,0.6375,0.6125,0.5916079783099616
mean,0.45515484515484517,0.8022943722943723,0.5808078222530623,6.9,0.7947222222222222,0.4456332556332557,0.57105347222766,11.6,0.5786549707602339,0.623963813963814,0.6503484015984016,0.5979373320857131
