,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.2222222222222222,0.6666666666666666,0.3333333333333333,3.0,0.9,0.5625,0.6923076923076923,16.0,0.5789473684210527,0.6145833333333333,0.5208333333333334,0.6123724356957945
1,0.4,1.0,0.5714285714285715,6.0,1.0,0.3076923076923077,0.47058823529411764,13.0,0.5263157894736842,0.6538461538461539,0.8076923076923077,0.5547001962252291
2,0.6923076923076923,0.8181818181818182,0.7500000000000001,11.0,0.6666666666666666,0.5,0.5714285714285715,8.0,0.6842105263157895,0.6590909090909092,0.6590909090909091,0.6396021490668313
3,0.6153846153846154,0.8,0.6956521739130435,10.0,0.6666666666666666,0.4444444444444444,0.5333333333333333,9.0,0.631578947368421,0.6222222222222222,0.47777777777777775,0.5962847939999439
4,0.38461538461538464,0.625,0.4761904761904762,8.0,0.5,0.2727272727272727,0.3529411764705882,11.0,0.42105263157894735,0.44886363636363635,0.4318181818181819,0.41286141192238524
5,0.5,0.7142857142857143,0.588235294117647,7.0,0.75,0.5454545454545454,0.631578947368421,11.0,0.6111111111111112,0.6298701298701299,0.6753246753246753,0.6241877839323592
6,0.42857142857142855,1.0,0.6,6.0,1.0,0.3333333333333333,0.5,12.0,0.5555555555555556,0.6666666666666666,0.8194444444444444,0.5773502691896257
7,0.5,0.6666666666666666,0.5714285714285715,6.0,0.8,0.6666666666666666,0.7272727272727272,12.0,0.6666666666666666,0.6666666666666666,0.5833333333333333,0.6666666666666666
8,0.4,1.0,0.5714285714285715,4.0,1.0,0.5714285714285714,0.7272727272727273,14.0,0.6666666666666666,0.7857142857142857,0.9642857142857143,0.7559289460184544
9,0.5384615384615384,0.875,0.6666666666666667,8.0,0.8,0.4,0.5333333333333333,10.0,0.6111111111111112,0.6375,0.6000000000000001,0.5916079783099616
mean,0.4681562881562882,0.8165800865800865,0.5951214736861767,6.9,0.8083333333333333,0.4604247141747142,0.5866786731936505,11.6,0.5953216374269006,0.6385024003774005,0.6539600677100678,0.6131669046551679
