,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.2222222222222222,0.6666666666666666,0.3333333333333333,3.0,0.9,0.5625,0.6923076923076923,16.0,0.5789473684210527,0.6145833333333333,0.5625,0.6123724356957945
1,0.42857142857142855,1.0,0.6,6.0,1.0,0.38461538461538464,0.5555555555555556,13.0,0.5789473684210527,0.6923076923076923,0.7692307692307692,0.6201736729460423
2,0.6923076923076923,0.8181818181818182,0.7500000000000001,11.0,0.6666666666666666,0.5,0.5714285714285715,8.0,0.6842105263157895,0.6590909090909092,0.6931818181818181,0.6396021490668313
3,0.6153846153846154,0.8,0.6956521739130435,10.0,0.6666666666666666,0.4444444444444444,0.5333333333333333,9.0,0.631578947368421,0.6222222222222222,0.5333333333333333,0.5962847939999439
4,0.4166666666666667,0.625,0.5,8.0,0.5714285714285714,0.36363636363636365,0.4444444444444444,11.0,0.47368421052631576,0.4943181818181818,0.4545454545454546,0.4767312946227962
5,0.45454545454545453,0.7142857142857143,0.5555555555555556,7.0,0.7142857142857143,0.45454545454545453,0.5555555555555556,11.0,0.5555555555555556,0.5844155844155844,0.6623376623376623,0.5698028822981898
6,0.42857142857142855,1.0,0.6,6.0,1.0,0.3333333333333333,0.5,12.0,0.5555555555555556,0.6666666666666666,0.8888888888888888,0.5773502691896257
7,0.5,0.6666666666666666,0.5714285714285715,6.0,0.8,0.6666666666666666,0.7272727272727272,12.0,0.6666666666666666,0.6666666666666666,0.5972222222222222,0.6666666666666666
8,0.4,1.0,0.5714285714285715,4.0,1.0,0.5714285714285714,0.7272727272727273,14.0,0.6666666666666666,0.7857142857142857,0.9285714285714286,0.7559289460184544
9,0.5384615384615384,0.875,0.6666666666666667,8.0,0.8,0.4,0.5333333333333333,10.0,0.6111111111111112,0.6375,0.6125,0.5916079783099616
mean,0.46967310467310475,0.8165800865800865,0.596345582792505,6.9,0.8119047619047619,0.46811702186702187,0.5938437048509996,11.6,0.6002923976608188,0.6423485542235542,0.6702311577311577,0.6182677722846186
