,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.2222222222222222,0.6666666666666666,0.3333333333333333,3.0,0.9,0.5625,0.6923076923076923,16.0,0.5789473684210527,0.6145833333333333,0.5416666666666667,0.6123724356957945
1,0.35714285714285715,0.8333333333333334,0.5,6.0,0.8,0.3076923076923077,0.4444444444444444,13.0,0.47368421052631576,0.5705128205128205,0.8076923076923077,0.5063696835418333
2,0.6153846153846154,0.7272727272727273,0.6666666666666667,11.0,0.5,0.375,0.42857142857142855,8.0,0.5789473684210527,0.5511363636363636,0.5568181818181818,0.5222329678670935
3,0.5384615384615384,0.7,0.608695652173913,10.0,0.5,0.3333333333333333,0.4,9.0,0.5263157894736842,0.5166666666666666,0.5444444444444445,0.48304589153964794
4,0.4166666666666667,0.625,0.5,8.0,0.5714285714285714,0.36363636363636365,0.4444444444444444,11.0,0.47368421052631576,0.4943181818181818,0.44318181818181823,0.4767312946227962
5,0.4,0.5714285714285714,0.47058823529411764,7.0,0.625,0.45454545454545453,0.5263157894736842,11.0,0.5,0.512987012987013,0.6233766233766234,0.5096471914376255
6,0.42857142857142855,1.0,0.6,6.0,1.0,0.3333333333333333,0.5,12.0,0.5555555555555556,0.6666666666666666,0.875,0.5773502691896257
7,0.4444444444444444,0.6666666666666666,0.5333333333333333,6.0,0.7777777777777778,0.5833333333333334,0.6666666666666666,12.0,0.6111111111111112,0.625,0.6111111111111112,0.6236095644623235
8,0.4,1.0,0.5714285714285715,4.0,1.0,0.5714285714285714,0.7272727272727273,14.0,0.6666666666666666,0.7857142857142857,0.9464285714285714,0.7559289460184544
9,0.5384615384615384,0.875,0.6666666666666667,8.0,0.8,0.4,0.5333333333333333,10.0,0.6111111111111112,0.6375,0.6125,0.5916079783099616
mean,0.4361355311355311,0.7665367965367965,0.5559518169667063,6.9,0.7474206349206349,0.42848026973026976,0.5446972512498215,11.6,0.5576023391812865,0.597508533133533,0.6562219724719724,0.573101992090643
