,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.0,0.0,0.0,3.0,0.8235294117647058,0.875,0.8484848484848485,16.0,0.7368421052631579,0.4375,0.4375,0.0
1,0.6,0.5,0.5454545454545454,6.0,0.7857142857142857,0.8461538461538461,0.8148148148148148,13.0,0.7368421052631579,0.6730769230769231,0.6602564102564104,0.6504436355879909
2,0.4,0.18181818181818182,0.25000000000000006,11.0,0.35714285714285715,0.625,0.45454545454545453,8.0,0.3684210526315789,0.40340909090909094,0.40909090909090906,0.3370999312316211
3,0.6,0.3,0.4,10.0,0.5,0.7777777777777778,0.6086956521739131,9.0,0.5263157894736842,0.5388888888888889,0.538888888888889,0.48304589153964794
4,0.6666666666666666,0.25,0.36363636363636365,8.0,0.625,0.9090909090909091,0.7407407407407406,11.0,0.631578947368421,0.5795454545454546,0.5738636363636364,0.4767312946227962
5,1.0,0.42857142857142855,0.6,7.0,0.7333333333333333,1.0,0.846153846153846,11.0,0.7777777777777778,0.7142857142857143,0.7142857142857143,0.6546536707079771
6,0.8,0.6666666666666666,0.7272727272727272,6.0,0.8461538461538461,0.9166666666666666,0.8799999999999999,12.0,0.8333333333333334,0.7916666666666666,0.8194444444444445,0.7817359599705715
7,0.3333333333333333,0.16666666666666666,0.2222222222222222,6.0,0.6666666666666666,0.8333333333333334,0.7407407407407408,12.0,0.6111111111111112,0.5,0.5069444444444444,0.37267799624996495
8,0.75,0.75,0.75,4.0,0.9285714285714286,0.9285714285714286,0.9285714285714286,14.0,0.8888888888888888,0.8392857142857143,0.8482142857142857,0.8345229603962802
9,0.6,0.375,0.4615384615384615,8.0,0.6153846153846154,0.8,0.6956521739130435,10.0,0.6111111111111112,0.5875,0.575,0.5477225575051662
mean,0.575,0.3618722943722944,0.44419409243707186,6.9,0.688149644473174,0.8511593961593963,0.7610233168206297,11.6,0.6722222222222222,0.6065158452658453,0.6083488733488733,0.5549873904556187
