,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0,0.7777777777777778,0.75,0.7500000000000002,0.7453559924999299
1,0.3333333333333333,1.0,0.5,2.0,1.0,0.42857142857142855,0.6,7.0,0.5555555555555556,0.7142857142857143,0.7142857142857143,0.6546536707079771
2,0.75,1.0,0.8571428571428571,3.0,1.0,0.8,0.888888888888889,5.0,0.875,0.9,0.9,0.8944271909999159
3,0.3333333333333333,0.25,0.28571428571428575,4.0,0.4,0.5,0.4444444444444445,4.0,0.375,0.375,0.375,0.3535533905932738
4,0.5,0.5,0.5,4.0,0.5,0.5,0.5,4.0,0.5,0.5,0.5,0.5
5,0.8,0.8,0.8000000000000002,5.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,0.75,0.7333333333333334,0.7333333333333333,0.7302967433402214
6,0.5,0.6666666666666666,0.5714285714285715,3.0,0.75,0.6,0.6666666666666665,5.0,0.625,0.6333333333333333,0.6333333333333334,0.6324555320336759
7,1.0,0.3333333333333333,0.5,3.0,0.7142857142857143,1.0,0.8333333333333333,5.0,0.75,0.6666666666666666,0.6666666666666667,0.5773502691896257
8,0.0,0.0,0.0,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0,0.75,0.42857142857142855,0.42857142857142855,0.0
9,0.5,0.3333333333333333,0.4,3.0,0.6666666666666666,0.8,0.7272727272727272,5.0,0.625,0.5666666666666667,0.5666666666666667,0.5163977794943222
mean,0.5383333333333333,0.5549999999999999,0.5465396341463414,3.1,0.7388095238095238,0.6985714285714285,0.718127262831586,5.1,0.6583333333333334,0.6267857142857143,0.6267857142857143,0.6226613388168104
