,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,1.0,0.6666666666666666,0.8,3.0,0.8571428571428571,1.0,0.923076923076923,6.0,0.8888888888888888,0.8333333333333333,0.8333333333333334,0.816496580927726
1,0.6666666666666666,1.0,0.8,2.0,1.0,0.8571428571428571,0.923076923076923,7.0,0.8888888888888888,0.9285714285714286,1.0,0.9258200997725514
2,0.5,0.3333333333333333,0.4,3.0,0.6666666666666666,0.8,0.7272727272727272,5.0,0.625,0.5666666666666667,0.7333333333333334,0.5163977794943222
3,0.5,0.25,0.3333333333333333,4.0,0.5,0.75,0.6,4.0,0.5,0.5,0.6875,0.4330127018922193
4,1.0,0.25,0.4,4.0,0.5714285714285714,1.0,0.7272727272727273,4.0,0.625,0.625,0.625,0.5
5,1.0,0.4,0.5714285714285715,5.0,0.5,1.0,0.6666666666666666,3.0,0.625,0.7,0.8666666666666667,0.6324555320336759
6,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,0.8,0.8,0.8000000000000002,5.0,0.75,0.7333333333333334,0.6666666666666667,0.7302967433402214
7,0.0,0.0,0.0,3.0,0.625,1.0,0.7692307692307693,5.0,0.625,0.5,0.4,0.0
8,0.0,0.0,0.0,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0,0.75,0.42857142857142855,0.2857142857142857,0.0
9,0.0,0.0,0.0,3.0,0.625,1.0,0.7692307692307693,5.0,0.625,0.5,0.6000000000000001,0.0
mean,0.5333333333333333,0.35666666666666663,0.42746566791510615,3.1,0.7002380952380952,0.9064285714285715,0.7901026759251418,5.1,0.6902777777777778,0.631547619047619,0.6698214285714286,0.5685884778491885
