,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.0,0.0,0.0,3.0,0.6666666666666666,1.0,0.8,6.0,0.6666666666666666,0.5,0.888888888888889,0.0
1,0.6666666666666666,1.0,0.8,2.0,1.0,0.8571428571428571,0.923076923076923,7.0,0.8888888888888888,0.9285714285714286,0.8571428571428571,0.9258200997725514
2,1.0,0.3333333333333333,0.5,3.0,0.7142857142857143,1.0,0.8333333333333333,5.0,0.75,0.6666666666666666,0.6666666666666667,0.5773502691896257
3,0.5,0.25,0.3333333333333333,4.0,0.5,0.75,0.6,4.0,0.5,0.5,0.5625,0.4330127018922193
4,1.0,0.25,0.4,4.0,0.5714285714285714,1.0,0.7272727272727273,4.0,0.625,0.625,0.625,0.5
5,1.0,0.2,0.33333333333333337,5.0,0.42857142857142855,1.0,0.6,3.0,0.5,0.6,0.7333333333333333,0.4472135954999579
6,0.5,0.3333333333333333,0.4,3.0,0.6666666666666666,0.8,0.7272727272727272,5.0,0.625,0.5666666666666667,0.8,0.5163977794943222
7,0.0,0.0,0.0,3.0,0.625,1.0,0.7692307692307693,5.0,0.625,0.5,0.6666666666666667,0.0
8,0.0,0.0,0.0,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0,0.75,0.42857142857142855,0.7142857142857143,0.0
9,0.0,0.0,0.0,3.0,0.625,1.0,0.7692307692307693,5.0,0.625,0.5,0.6666666666666667,0.0
mean,0.4666666666666666,0.23666666666666666,0.3140600315955766,3.1,0.6654761904761904,0.9264285714285714,0.7745641211914019,5.1,0.6555555555555556,0.5815476190476191,0.7181150793650795,0.4682464755924618
