,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.0,0.0,0.0,3.0,0.6666666666666666,1.0,0.8,6.0,0.6666666666666666,0.5,0.8333333333333334,0.0
1,0.5,0.5,0.5,2.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0,0.7777777777777778,0.6785714285714286,0.8571428571428571,0.6546536707079771
2,1.0,0.3333333333333333,0.5,3.0,0.7142857142857143,1.0,0.8333333333333333,5.0,0.75,0.6666666666666666,0.6666666666666667,0.5773502691896257
3,0.5,0.25,0.3333333333333333,4.0,0.5,0.75,0.6,4.0,0.5,0.5,0.5,0.4330127018922193
4,1.0,0.25,0.4,4.0,0.5714285714285714,1.0,0.7272727272727273,4.0,0.625,0.625,0.6875,0.5
5,1.0,0.2,0.33333333333333337,5.0,0.42857142857142855,1.0,0.6,3.0,0.5,0.6,0.8,0.4472135954999579
6,0.5,0.3333333333333333,0.4,3.0,0.6666666666666666,0.8,0.7272727272727272,5.0,0.625,0.5666666666666667,0.5333333333333334,0.5163977794943222
7,0.0,0.0,0.0,3.0,0.625,1.0,0.7692307692307693,5.0,0.625,0.5,0.6666666666666667,0.0
8,0.0,0.0,0.0,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0,0.75,0.42857142857142855,0.7142857142857143,0.0
9,0.0,0.0,0.0,3.0,0.625,1.0,0.7692307692307693,5.0,0.625,0.5,0.6666666666666667,0.0
mean,0.45,0.18666666666666668,0.2638743455497382,3.1,0.6511904761904762,0.9264285714285714,0.7647999223836833,5.1,0.6444444444444445,0.5565476190476191,0.6925595238095239,0.41585253796668514
