,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.5,1.0,0.6666666666666666,3.0,1.0,0.5,0.6666666666666666,6.0,0.6666666666666666,0.75,1.0,0.7071067811865476
1,0.4,1.0,0.5714285714285715,2.0,1.0,0.5714285714285714,0.7272727272727273,7.0,0.6666666666666666,0.7857142857142857,1.0,0.7559289460184544
2,0.6,1.0,0.7499999999999999,3.0,1.0,0.6,0.7499999999999999,5.0,0.75,0.8,0.8,0.7745966692414834
3,0.5,0.75,0.6,4.0,0.5,0.25,0.3333333333333333,4.0,0.5,0.5,0.75,0.4330127018922193
4,0.5,0.75,0.6,4.0,0.5,0.25,0.3333333333333333,4.0,0.5,0.5,0.625,0.4330127018922193
5,0.75,0.6,0.6666666666666665,5.0,0.5,0.6666666666666666,0.5714285714285715,3.0,0.625,0.6333333333333333,0.7333333333333333,0.6324555320336759
6,0.5,0.6666666666666666,0.5714285714285715,3.0,0.75,0.6,0.6666666666666665,5.0,0.625,0.6333333333333333,0.6666666666666667,0.6324555320336759
7,0.25,0.3333333333333333,0.28571428571428575,3.0,0.5,0.4,0.4444444444444445,5.0,0.375,0.3666666666666667,0.4,0.3651483716701107
8,0.0,0.0,0.0,1.0,0.6666666666666666,0.2857142857142857,0.4,7.0,0.25,0.14285714285714285,0.14285714285714285,0.0
9,0.5,0.3333333333333333,0.4,3.0,0.6666666666666666,0.8,0.7272727272727272,5.0,0.625,0.5666666666666667,0.7333333333333334,0.5163977794943222
mean,0.45,0.6433333333333333,0.5295731707317073,3.1,0.7083333333333334,0.4923809523809523,0.580937272787362,5.1,0.5583333333333333,0.5678571428571428,0.6851190476190476,0.5628188690556486
