,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.5,0.3333333333333333,0.4,3.0,0.7142857142857143,0.8333333333333334,0.7692307692307692,6.0,0.6666666666666666,0.5833333333333334,0.7222222222222223,0.5270462766947299
1,0.6666666666666666,1.0,0.8,2.0,1.0,0.8571428571428571,0.923076923076923,7.0,0.8888888888888888,0.9285714285714286,0.8571428571428571,0.9258200997725514
2,1.0,0.3333333333333333,0.5,3.0,0.7142857142857143,1.0,0.8333333333333333,5.0,0.75,0.6666666666666666,0.7333333333333334,0.5773502691896257
3,0.3333333333333333,0.25,0.28571428571428575,4.0,0.4,0.5,0.4444444444444445,4.0,0.375,0.375,0.5625,0.3535533905932738
4,1.0,0.5,0.6666666666666666,4.0,0.6666666666666666,1.0,0.8,4.0,0.75,0.75,0.6875,0.7071067811865476
5,0.6666666666666666,0.4,0.5,5.0,0.4,0.6666666666666666,0.5,3.0,0.5,0.5333333333333333,0.6666666666666666,0.5163977794943222
6,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,0.8,0.8,0.8000000000000002,5.0,0.75,0.7333333333333334,0.6333333333333334,0.7302967433402214
7,0.0,0.0,0.0,3.0,0.625,1.0,0.7692307692307693,5.0,0.625,0.5,0.8,0.0
8,0.0,0.0,0.0,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0,0.75,0.42857142857142855,0.35714285714285715,0.0
9,0.0,0.0,0.0,3.0,0.625,1.0,0.7692307692307693,5.0,0.625,0.5,0.6666666666666667,0.0
mean,0.4833333333333333,0.34833333333333333,0.40487641950567804,3.1,0.6802380952380952,0.8514285714285714,0.7562665719171237,5.1,0.6680555555555555,0.5998809523809523,0.6686507936507937,0.5445924644915245
