,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.5,0.6666666666666666,0.5714285714285715,3.0,0.8,0.6666666666666666,0.7272727272727272,6.0,0.6666666666666666,0.6666666666666666,0.6944444444444445,0.6666666666666666
1,0.6666666666666666,1.0,0.8,2.0,1.0,0.8571428571428571,0.923076923076923,7.0,0.8888888888888888,0.9285714285714286,1.0,0.9258200997725514
2,1.0,0.6666666666666666,0.8,3.0,0.8333333333333334,1.0,0.9090909090909091,5.0,0.875,0.8333333333333333,0.8333333333333334,0.816496580927726
3,1.0,0.25,0.4,4.0,0.5714285714285714,1.0,0.7272727272727273,4.0,0.625,0.625,0.625,0.5
4,0.6666666666666666,0.5,0.5714285714285715,4.0,0.6,0.75,0.6666666666666665,4.0,0.625,0.625,0.6875,0.6123724356957945
5,1.0,0.6,0.7499999999999999,5.0,0.6,1.0,0.7499999999999999,3.0,0.75,0.8,0.8,0.7745966692414834
6,1.0,0.3333333333333333,0.5,3.0,0.7142857142857143,1.0,0.8333333333333333,5.0,0.75,0.6666666666666666,0.6666666666666667,0.5773502691896257
7,0.0,0.0,0.0,3.0,0.5714285714285714,0.8,0.6666666666666666,5.0,0.5,0.4,0.4,0.0
8,0.0,0.0,0.0,1.0,0.8,0.5714285714285714,0.6666666666666666,7.0,0.5,0.2857142857142857,0.2857142857142857,0.0
9,1.0,0.6666666666666666,0.8,3.0,0.8333333333333334,1.0,0.9090909090909091,5.0,0.875,0.8333333333333333,0.8,0.816496580927726
mean,0.6833333333333333,0.4683333333333334,0.5557645923781958,3.1,0.7323809523809524,0.8645238095238096,0.7929850121053342,5.1,0.7055555555555555,0.6664285714285715,0.6792658730158732,0.6363059935756676
