,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.9354838709677419,0.8285714285714286,0.8787878787878788,35.0,0.25,0.5,0.3333333333333333,4.0,0.7948717948717948,0.6642857142857144,0.6642857142857143,0.6436503043467892
1,0.918918918918919,0.9444444444444444,0.9315068493150684,36.0,0.0,0.0,0.0,3.0,0.8717948717948718,0.4722222222222222,0.4722222222222222,0.0
2,0.9032258064516129,0.8235294117647058,0.8615384615384616,34.0,0.14285714285714285,0.25,0.18181818181818182,4.0,0.7631578947368421,0.5367647058823529,0.5367647058823529,0.45374260648651504
3,0.8787878787878788,0.90625,0.8923076923076922,32.0,0.4,0.3333333333333333,0.3636363636363636,6.0,0.8157894736842105,0.6197916666666666,0.6197916666666666,0.5496210815947049
4,0.8857142857142857,0.96875,0.9253731343283582,32.0,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0,0.868421052631579,0.6510416666666666,0.6510416666666666,0.568257570707744
5,0.8378378378378378,0.96875,0.8985507246376812,32.0,0.0,0.0,0.0,6.0,0.8157894736842105,0.484375,0.484375,0.0
6,0.9333333333333333,0.8235294117647058,0.8749999999999999,34.0,0.25,0.5,0.3333333333333333,4.0,0.7894736842105263,0.6617647058823529,0.6617647058823529,0.6416889479197478
7,0.9375,0.8571428571428571,0.8955223880597014,35.0,0.16666666666666666,0.3333333333333333,0.2222222222222222,3.0,0.8157894736842105,0.5952380952380952,0.5952380952380952,0.5345224838248488
8,0.8823529411764706,0.9375,0.9090909090909091,32.0,0.5,0.3333333333333333,0.4,6.0,0.8421052631578947,0.6354166666666666,0.6354166666666666,0.5590169943749475
9,0.9354838709677419,0.8529411764705882,0.8923076923076922,34.0,0.2857142857142857,0.5,0.36363636363636365,4.0,0.8157894736842105,0.6764705882352942,0.676470588235294,0.6530471562110152
mean,0.9048638744155821,0.891140873015873,0.8979499460237391,33.6,0.2661904761904762,0.30833333333333335,0.28571625915181653,4.6,0.819298245614035,0.5997371031746033,0.5997371031746033,0.5241835898295185
