,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.918918918918919,0.9714285714285714,0.9444444444444445,35.0,0.5,0.25,0.3333333333333333,4.0,0.8974358974358975,0.6107142857142858,0.9214285714285715,0.49280538030458115
1,0.9230769230769231,1.0,0.9600000000000001,36.0,0.0,0.0,0.0,3.0,0.9230769230769231,0.5,0.9166666666666666,0.0
2,0.8947368421052632,1.0,0.9444444444444444,34.0,0.0,0.0,0.0,4.0,0.8947368421052632,0.5,0.4852941176470588,0.0
3,0.8421052631578947,1.0,0.9142857142857143,32.0,0.0,0.0,0.0,6.0,0.8421052631578947,0.5,0.6770833333333333,0.0
4,0.8648648648648649,1.0,0.927536231884058,32.0,1.0,0.16666666666666666,0.2857142857142857,6.0,0.868421052631579,0.5833333333333334,0.8958333333333334,0.408248290463863
5,0.8421052631578947,1.0,0.9142857142857143,32.0,0.0,0.0,0.0,6.0,0.8421052631578947,0.5,0.8385416666666667,0.0
6,0.8947368421052632,1.0,0.9444444444444444,34.0,0.0,0.0,0.0,4.0,0.8947368421052632,0.5,0.875,0.0
7,0.9210526315789473,1.0,0.958904109589041,35.0,0.0,0.0,0.0,3.0,0.9210526315789473,0.5,0.638095238095238,0.0
8,0.8421052631578947,1.0,0.9142857142857143,32.0,0.0,0.0,0.0,6.0,0.8421052631578947,0.5,0.7760416666666666,0.0
9,0.8947368421052632,1.0,0.9444444444444444,34.0,0.0,0.0,0.0,4.0,0.8947368421052632,0.5,0.8014705882352942,0.0
mean,0.8838439654229129,0.9971428571428571,0.9370812026722319,33.6,0.15,0.041666666666666664,0.06521739130434782,4.6,0.8820512820512821,0.5194047619047619,0.7825455182072829,0.203832330722138
