,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.9166666666666666,0.9428571428571428,0.9295774647887323,35.0,0.3333333333333333,0.25,0.28571428571428575,4.0,0.8717948717948718,0.5964285714285714,0.9214285714285714,0.4855041562276122
1,0.9230769230769231,1.0,0.9600000000000001,36.0,0.0,0.0,0.0,3.0,0.9230769230769231,0.5,0.9166666666666667,0.0
2,0.8947368421052632,1.0,0.9444444444444444,34.0,0.0,0.0,0.0,4.0,0.8947368421052632,0.5,0.5441176470588235,0.0
3,0.8421052631578947,1.0,0.9142857142857143,32.0,0.0,0.0,0.0,6.0,0.8421052631578947,0.5,0.6770833333333333,0.0
4,0.8648648648648649,1.0,0.927536231884058,32.0,1.0,0.16666666666666666,0.2857142857142857,6.0,0.868421052631579,0.5833333333333334,0.890625,0.408248290463863
5,0.8421052631578947,1.0,0.9142857142857143,32.0,0.0,0.0,0.0,6.0,0.8421052631578947,0.5,0.7760416666666667,0.0
6,0.8947368421052632,1.0,0.9444444444444444,34.0,0.0,0.0,0.0,4.0,0.8947368421052632,0.5,0.8970588235294117,0.0
7,0.9210526315789473,1.0,0.958904109589041,35.0,0.0,0.0,0.0,3.0,0.9210526315789473,0.5,0.6666666666666666,0.0
8,0.8421052631578947,1.0,0.9142857142857143,32.0,0.0,0.0,0.0,6.0,0.8421052631578947,0.5,0.8020833333333334,0.0
9,0.8947368421052632,1.0,0.9444444444444444,34.0,0.0,0.0,0.0,4.0,0.8947368421052632,0.5,0.7352941176470589,0.0
mean,0.8836187401976876,0.9942857142857143,0.9356913640160559,33.6,0.13333333333333333,0.041666666666666664,0.06349206349206349,4.6,0.8794871794871796,0.5179761904761906,0.7827065826330533,0.20354009783964294
