,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.9142857142857143,0.9142857142857143,0.9142857142857143,35.0,0.25,0.25,0.25,4.0,0.8461538461538461,0.5821428571428571,0.8714285714285714,0.47809144373375745
1,0.9428571428571428,0.9166666666666666,0.9295774647887323,36.0,0.25,0.3333333333333333,0.28571428571428575,3.0,0.8717948717948718,0.625,0.8240740740740741,0.5527707983925666
2,0.8888888888888888,0.9411764705882353,0.9142857142857143,34.0,0.0,0.0,0.0,4.0,0.8421052631578947,0.47058823529411764,0.5882352941176471,0.0
3,0.8787878787878788,0.90625,0.8923076923076922,32.0,0.4,0.3333333333333333,0.3636363636363636,6.0,0.8157894736842105,0.6197916666666666,0.65625,0.5496210815947049
4,0.8648648648648649,1.0,0.927536231884058,32.0,1.0,0.16666666666666666,0.2857142857142857,6.0,0.868421052631579,0.5833333333333334,0.8385416666666667,0.408248290463863
5,0.8857142857142857,0.96875,0.9253731343283582,32.0,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0,0.868421052631579,0.6510416666666666,0.8854166666666666,0.568257570707744
6,0.9428571428571428,0.9705882352941176,0.9565217391304348,34.0,0.6666666666666666,0.5,0.5714285714285715,4.0,0.9210526315789473,0.7352941176470589,0.838235294117647,0.6966305460192359
7,0.9090909090909091,0.8571428571428571,0.8823529411764706,35.0,0.0,0.0,0.0,3.0,0.7894736842105263,0.42857142857142855,0.4571428571428572,0.0
8,0.8421052631578947,1.0,0.9142857142857143,32.0,0.0,0.0,0.0,6.0,0.8421052631578947,0.5,0.859375,0.0
9,0.9428571428571428,0.9705882352941176,0.9565217391304348,34.0,0.6666666666666666,0.5,0.5714285714285715,4.0,0.9210526315789473,0.7352941176470589,0.8602941176470589,0.6966305460192359
mean,0.9012309233361865,0.9445448179271709,0.9223796578995743,33.6,0.38999999999999996,0.24166666666666664,0.2984168865435356,4.6,0.8586369770580298,0.5931057422969188,0.7678993541861189,0.4777708631402013
