,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.9142857142857143,0.9142857142857143,0.9142857142857143,35.0,0.25,0.25,0.25,4.0,0.8461538461538461,0.5821428571428571,0.8857142857142858,0.47809144373375745
1,0.9428571428571428,0.9166666666666666,0.9295774647887323,36.0,0.25,0.3333333333333333,0.28571428571428575,3.0,0.8717948717948718,0.625,0.8333333333333334,0.5527707983925666
2,0.8857142857142857,0.9117647058823529,0.8985507246376812,34.0,0.0,0.0,0.0,4.0,0.8157894736842105,0.45588235294117646,0.625,0.0
3,0.875,0.875,0.875,32.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.0,0.7894736842105263,0.6041666666666666,0.6510416666666666,0.5400617248673216
4,0.8888888888888888,1.0,0.9411764705882353,32.0,1.0,0.3333333333333333,0.5,6.0,0.8947368421052632,0.6666666666666666,0.8697916666666666,0.5773502691896257
5,0.8857142857142857,0.96875,0.9253731343283582,32.0,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0,0.868421052631579,0.6510416666666666,0.8697916666666666,0.568257570707744
6,0.9428571428571428,0.9705882352941176,0.9565217391304348,34.0,0.6666666666666666,0.5,0.5714285714285715,4.0,0.9210526315789473,0.7352941176470589,0.8382352941176471,0.6966305460192359
7,0.9090909090909091,0.8571428571428571,0.8823529411764706,35.0,0.0,0.0,0.0,3.0,0.7894736842105263,0.42857142857142855,0.5714285714285714,0.0
8,0.8421052631578947,1.0,0.9142857142857143,32.0,0.0,0.0,0.0,6.0,0.8421052631578947,0.5,0.7864583333333333,0.0
9,0.9428571428571428,0.9705882352941176,0.9565217391304348,34.0,0.6666666666666666,0.5,0.5714285714285715,4.0,0.9210526315789473,0.7352941176470589,0.8455882352941176,0.6966305460192359
mean,0.9029370775423405,0.9384786414565826,0.9203648617851385,33.6,0.38333333333333325,0.2583333333333333,0.3086580086580086,4.6,0.8560053981106612,0.598405987394958,0.7776383053221289,0.4923822861452442
