,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.9142857142857143,0.9142857142857143,0.9142857142857143,35.0,0.25,0.25,0.25,4.0,0.8461538461538461,0.5821428571428571,0.8714285714285714,0.47809144373375745
1,0.9428571428571428,0.9166666666666666,0.9295774647887323,36.0,0.25,0.3333333333333333,0.28571428571428575,3.0,0.8717948717948718,0.625,0.8425925925925926,0.5527707983925666
2,0.8888888888888888,0.9411764705882353,0.9142857142857143,34.0,0.0,0.0,0.0,4.0,0.8421052631578947,0.47058823529411764,0.6029411764705882,0.0
3,0.8285714285714286,0.90625,0.8656716417910447,32.0,0.0,0.0,0.0,6.0,0.7631578947368421,0.453125,0.6354166666666666,0.0
4,0.8648648648648649,1.0,0.927536231884058,32.0,1.0,0.16666666666666666,0.2857142857142857,6.0,0.868421052631579,0.5833333333333334,0.8333333333333334,0.408248290463863
5,0.8857142857142857,0.96875,0.9253731343283582,32.0,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0,0.868421052631579,0.6510416666666666,0.8802083333333334,0.568257570707744
6,0.9166666666666666,0.9705882352941176,0.9428571428571428,34.0,0.5,0.25,0.3333333333333333,4.0,0.8947368421052632,0.6102941176470589,0.8088235294117647,0.492592183071889
7,0.9117647058823529,0.8857142857142857,0.8985507246376812,35.0,0.0,0.0,0.0,3.0,0.8157894736842105,0.44285714285714284,0.5238095238095238,0.0
8,0.8421052631578947,1.0,0.9142857142857143,32.0,0.0,0.0,0.0,6.0,0.8421052631578947,0.5,0.859375,0.0
9,0.9428571428571428,0.9705882352941176,0.9565217391304348,34.0,0.6666666666666666,0.5,0.5714285714285715,4.0,0.9210526315789473,0.7352941176470589,0.8602941176470588,0.6966305460192359
mean,0.8938576103746382,0.9474019607843138,0.9198512431333966,33.6,0.3333333333333333,0.18333333333333332,0.23655913978494622,4.6,0.8533738191632929,0.5653676470588235,0.7718222844693433,0.41676175385599407
