,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.9166666666666666,0.9428571428571428,0.9295774647887323,35.0,0.3333333333333333,0.25,0.28571428571428575,4.0,0.8717948717948718,0.5964285714285714,0.8714285714285714,0.4855041562276122
1,0.9230769230769231,1.0,0.9600000000000001,36.0,0.0,0.0,0.0,3.0,0.9230769230769231,0.5,0.8611111111111112,0.0
2,0.8947368421052632,1.0,0.9444444444444444,34.0,0.0,0.0,0.0,4.0,0.8947368421052632,0.5,0.5882352941176471,0.0
3,0.8378378378378378,0.96875,0.8985507246376812,32.0,0.0,0.0,0.0,6.0,0.8157894736842105,0.484375,0.65625,0.0
4,0.8421052631578947,1.0,0.9142857142857143,32.0,0.0,0.0,0.0,6.0,0.8421052631578947,0.5,0.7968750000000001,0.0
5,0.8421052631578947,1.0,0.9142857142857143,32.0,0.0,0.0,0.0,6.0,0.8421052631578947,0.5,0.78125,0.0
6,0.918918918918919,1.0,0.9577464788732395,34.0,1.0,0.25,0.4,4.0,0.9210526315789473,0.625,0.8823529411764706,0.5
7,0.918918918918919,0.9714285714285714,0.9444444444444445,35.0,0.0,0.0,0.0,3.0,0.8947368421052632,0.4857142857142857,0.5238095238095238,0.0
8,0.8421052631578947,1.0,0.9142857142857143,32.0,0.0,0.0,0.0,6.0,0.8421052631578947,0.5,0.8072916666666667,0.0
9,0.8947368421052632,1.0,0.9444444444444444,34.0,0.0,0.0,0.0,4.0,0.8947368421052632,0.5,0.7867647058823529,0.0
mean,0.8831208739103475,0.9883035714285715,0.9327563459615419,33.6,0.13333333333333333,0.05,0.07272727272727272,4.6,0.8742240215924426,0.5191517857142858,0.7555368814192345,0.22229525089715385
