,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,1.0,0.2857142857142857,0.4444444444444445,35.0,0.13793103448275862,1.0,0.2424242424242424,4.0,0.358974358974359,0.6428571428571428,0.65,0.5345224838248488
1,0.9375,0.4166666666666667,0.5769230769230769,36.0,0.08695652173913043,0.6666666666666666,0.15384615384615383,3.0,0.4358974358974359,0.5416666666666666,0.4444444444444444,0.5270462766947299
2,0.9444444444444444,0.5,0.6538461538461539,34.0,0.15,0.75,0.24999999999999997,4.0,0.5263157894736842,0.625,0.6102941176470589,0.6123724356957945
3,0.8571428571428571,0.375,0.5217391304347825,32.0,0.16666666666666666,0.6666666666666666,0.26666666666666666,6.0,0.42105263157894735,0.5208333333333333,0.578125,0.5
4,0.9333333333333333,0.4375,0.5957446808510638,32.0,0.21739130434782608,0.8333333333333334,0.3448275862068966,6.0,0.5,0.6354166666666667,0.6666666666666667,0.60380736442456
5,1.0,0.40625,0.5777777777777777,32.0,0.24,1.0,0.3870967741935484,6.0,0.5,0.703125,0.578125,0.6373774391990981
6,0.9230769230769231,0.35294117647058826,0.5106382978723405,34.0,0.12,0.75,0.20689655172413793,4.0,0.39473684210526316,0.5514705882352942,0.5882352941176471,0.5144957554275266
7,1.0,0.42857142857142855,0.6,35.0,0.13043478260869565,1.0,0.23076923076923078,3.0,0.47368421052631576,0.7142857142857143,0.5904761904761905,0.6546536707079771
8,0.9333333333333333,0.4375,0.5957446808510638,32.0,0.21739130434782608,0.8333333333333334,0.3448275862068966,6.0,0.5,0.6354166666666667,0.5989583333333333,0.60380736442456
9,1.0,0.4411764705882353,0.6122448979591837,34.0,0.17391304347826086,1.0,0.29629629629629634,4.0,0.5,0.7205882352941176,0.8161764705882353,0.6642111641550714
mean,0.9528830891330891,0.4081320028011205,0.5714882750499367,33.6,0.16406846576711645,0.85,0.27504690385289216,4.6,0.46106612685560056,0.6290660014005602,0.6121501517273576,0.5889925316852095
