,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,1.0,0.2857142857142857,0.4444444444444445,35.0,0.13793103448275862,1.0,0.2424242424242424,4.0,0.358974358974359,0.6428571428571428,0.65,0.5345224838248488
1,0.8823529411764706,0.4166666666666667,0.5660377358490566,36.0,0.045454545454545456,0.3333333333333333,0.08,3.0,0.41025641025641024,0.375,0.42592592592592593,0.37267799624996495
2,0.9444444444444444,0.5,0.6538461538461539,34.0,0.15,0.75,0.24999999999999997,4.0,0.5263157894736842,0.625,0.6102941176470589,0.6123724356957945
3,0.8571428571428571,0.375,0.5217391304347825,32.0,0.16666666666666666,0.6666666666666666,0.26666666666666666,6.0,0.42105263157894735,0.5208333333333333,0.5729166666666667,0.5
4,0.9333333333333333,0.4375,0.5957446808510638,32.0,0.21739130434782608,0.8333333333333334,0.3448275862068966,6.0,0.5,0.6354166666666667,0.6614583333333333,0.60380736442456
5,1.0,0.34375,0.5116279069767442,32.0,0.2222222222222222,1.0,0.3636363636363636,6.0,0.4473684210526316,0.671875,0.6041666666666666,0.5863019699779287
6,0.9230769230769231,0.35294117647058826,0.5106382978723405,34.0,0.12,0.75,0.20689655172413793,4.0,0.39473684210526316,0.5514705882352942,0.5367647058823529,0.5144957554275266
7,1.0,0.45714285714285713,0.6274509803921569,35.0,0.13636363636363635,1.0,0.24000000000000002,3.0,0.5,0.7285714285714285,0.6000000000000001,0.6761234037828132
8,0.9333333333333333,0.4375,0.5957446808510638,32.0,0.21739130434782608,0.8333333333333334,0.3448275862068966,6.0,0.5,0.6354166666666667,0.6458333333333333,0.60380736442456
9,1.0,0.4411764705882353,0.6122448979591837,34.0,0.17391304347826086,1.0,0.29629629629629634,4.0,0.5,0.7205882352941176,0.8308823529411765,0.6642111641550714
mean,0.9473683832507362,0.4047391456582633,0.5671694918671806,33.6,0.15873337573637425,0.8166666666666668,0.26580326269415416,4.6,0.45587044534412957,0.610702906162465,0.6138242102396514,0.5749234461684863
