,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,1.0,0.34285714285714286,0.5106382978723404,35.0,0.14814814814814814,1.0,0.25806451612903225,4.0,0.41025641025641024,0.6714285714285715,0.6642857142857143,0.5855400437691199
1,0.9375,0.4166666666666667,0.5769230769230769,36.0,0.08695652173913043,0.6666666666666666,0.15384615384615383,3.0,0.4358974358974359,0.5416666666666666,0.4444444444444444,0.5270462766947299
2,0.9411764705882353,0.47058823529411764,0.627450980392157,34.0,0.14285714285714285,0.75,0.24,4.0,0.5,0.6102941176470589,0.5735294117647058,0.5940885257860046
3,0.8461538461538461,0.34375,0.4888888888888889,32.0,0.16,0.6666666666666666,0.25806451612903225,6.0,0.39473684210526316,0.5052083333333333,0.5572916666666667,0.47871355387816905
4,0.9285714285714286,0.40625,0.5652173913043478,32.0,0.20833333333333334,0.8333333333333334,0.33333333333333337,6.0,0.47368421052631576,0.6197916666666667,0.6875,0.5818433351570392
5,1.0,0.375,0.5454545454545454,32.0,0.23076923076923078,1.0,0.375,6.0,0.47368421052631576,0.6875,0.5989583333333333,0.6123724356957945
6,0.9285714285714286,0.38235294117647056,0.5416666666666667,34.0,0.125,0.75,0.21428571428571427,4.0,0.42105263157894735,0.5661764705882353,0.5882352941176471,0.5355041604715625
7,1.0,0.42857142857142855,0.6,35.0,0.13043478260869565,1.0,0.23076923076923078,3.0,0.47368421052631576,0.7142857142857143,0.6000000000000001,0.6546536707079771
8,0.9333333333333333,0.4375,0.5957446808510638,32.0,0.21739130434782608,0.8333333333333334,0.3448275862068966,6.0,0.5,0.6354166666666667,0.6197916666666666,0.60380736442456
9,1.0,0.4411764705882353,0.6122448979591837,34.0,0.17391304347826086,1.0,0.29629629629629634,4.0,0.5,0.7205882352941176,0.7867647058823529,0.6642111641550714
mean,0.9515306507218272,0.40447128851540615,0.5676493775161595,33.6,0.16238035072817683,0.85,0.27267083565909594,4.6,0.45829959514170043,0.6272356442577032,0.6120801237161533,0.5863451161543816
