,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.8888888888888888,0.45714285714285713,0.6037735849056604,35.0,0.09523809523809523,0.5,0.16,4.0,0.46153846153846156,0.47857142857142854,0.6214285714285714,0.47809144373375745
1,0.95,0.5277777777777778,0.6785714285714285,36.0,0.10526315789473684,0.6666666666666666,0.18181818181818182,3.0,0.5384615384615384,0.5972222222222222,0.5185185185185185,0.5931710140017395
2,0.9,0.5294117647058824,0.6666666666666667,34.0,0.1111111111111111,0.5,0.1818181818181818,4.0,0.5263157894736842,0.5147058823529411,0.5735294117647058,0.5144957554275266
3,0.9047619047619048,0.59375,0.7169811320754718,32.0,0.23529411764705882,0.6666666666666666,0.3478260869565218,6.0,0.6052631578947368,0.6302083333333333,0.5989583333333333,0.6291528696058958
4,0.9,0.5625,0.6923076923076923,32.0,0.2222222222222222,0.6666666666666666,0.3333333333333333,6.0,0.5789473684210527,0.6145833333333333,0.6927083333333333,0.6123724356957945
5,0.8888888888888888,0.5,0.64,32.0,0.2,0.6666666666666666,0.30769230769230765,6.0,0.5263157894736842,0.5833333333333333,0.546875,0.5773502691896257
6,0.9285714285714286,0.38235294117647056,0.5416666666666667,34.0,0.125,0.75,0.21428571428571427,4.0,0.42105263157894735,0.5661764705882353,0.5514705882352942,0.5355041604715625
7,0.8947368421052632,0.4857142857142857,0.6296296296296297,35.0,0.05263157894736842,0.3333333333333333,0.09090909090909091,3.0,0.47368421052631576,0.4095238095238095,0.6000000000000001,0.4023739080814782
8,0.9411764705882353,0.5,0.6530612244897959,32.0,0.23809523809523808,0.8333333333333334,0.37037037037037035,6.0,0.5526315789473685,0.6666666666666667,0.671875,0.6454972243679028
9,1.0,0.5294117647058824,0.6923076923076924,34.0,0.2,1.0,0.33333333333333337,4.0,0.5789473684210527,0.7647058823529411,0.7867647058823528,0.7276068751089989
mean,0.919702442380461,0.5068061391223155,0.6534988292508888,33.6,0.15848555211558307,0.6583333333333333,0.25546990567458094,4.6,0.5263157894736843,0.5825697362278245,0.616212846249611,0.5776221731566328
