,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.9655172413793104,0.8,0.8750000000000001,35.0,0.3,0.75,0.4285714285714285,4.0,0.7948717948717948,0.775,0.9,0.7745966692414834
1,0.9393939393939394,0.8611111111111112,0.8985507246376813,36.0,0.16666666666666666,0.3333333333333333,0.2222222222222222,3.0,0.8205128205128205,0.5972222222222222,0.8472222222222222,0.5357583756107197
2,0.9,0.7941176470588235,0.84375,34.0,0.125,0.25,0.16666666666666666,4.0,0.7368421052631579,0.5220588235294117,0.6213235294117647,0.4455663943395034
3,0.8571428571428571,0.75,0.7999999999999999,32.0,0.2,0.3333333333333333,0.25,6.0,0.6842105263157895,0.5416666666666666,0.671875,0.5
4,0.9090909090909091,0.9375,0.923076923076923,32.0,0.6,0.5,0.5454545454545454,6.0,0.868421052631579,0.71875,0.8229166666666667,0.6846531968814576
5,0.8823529411764706,0.9375,0.9090909090909091,32.0,0.5,0.3333333333333333,0.4,6.0,0.8421052631578947,0.6354166666666666,0.828125,0.5590169943749475
6,0.9393939393939394,0.9117647058823529,0.9253731343283583,34.0,0.4,0.5,0.4444444444444445,4.0,0.868421052631579,0.7058823529411764,0.8602941176470589,0.6751906048969998
7,0.8928571428571429,0.7142857142857143,0.7936507936507937,35.0,0.0,0.0,0.0,3.0,0.6578947368421053,0.35714285714285715,0.5333333333333333,0.0
8,0.8571428571428571,0.9375,0.8955223880597014,32.0,0.3333333333333333,0.16666666666666666,0.2222222222222222,6.0,0.8157894736842105,0.5520833333333334,0.8333333333333333,0.39528470752104744
9,0.9393939393939394,0.9117647058823529,0.9253731343283583,34.0,0.4,0.5,0.4444444444444445,4.0,0.868421052631579,0.7058823529411764,0.7941176470588235,0.6751906048969998
mean,0.9082285766971365,0.8555543884220356,0.881104943012116,33.6,0.30250000000000005,0.36666666666666664,0.3315068493150685,4.6,0.7957489878542511,0.611110527544351,0.7712540849673203,0.5600922029047953
