,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,0.8974358974358975,1.0,0.945945945945946,35.0,0.0,0.0,0.0,4.0,0.8974358974358975,0.5,0.5,0.0
1,0.9230769230769231,1.0,0.9600000000000001,36.0,0.0,0.0,0.0,3.0,0.9230769230769231,0.5,0.5,0.0
2,0.8947368421052632,1.0,0.9444444444444444,34.0,0.0,0.0,0.0,4.0,0.8947368421052632,0.5,0.5,0.0
3,0.8421052631578947,1.0,0.9142857142857143,32.0,0.0,0.0,0.0,6.0,0.8421052631578947,0.5,0.5,0.0
4,0.8421052631578947,1.0,0.9142857142857143,32.0,0.0,0.0,0.0,6.0,0.8421052631578947,0.5,0.5,0.0
5,0.8378378378378378,0.96875,0.8985507246376812,32.0,0.0,0.0,0.0,6.0,0.8157894736842105,0.484375,0.484375,0.0
6,0.8947368421052632,1.0,0.9444444444444444,34.0,0.0,0.0,0.0,4.0,0.8947368421052632,0.5,0.5,0.0
7,0.9210526315789473,1.0,0.958904109589041,35.0,0.0,0.0,0.0,3.0,0.9210526315789473,0.5,0.5,0.0
8,0.8421052631578947,1.0,0.9142857142857143,32.0,0.0,0.0,0.0,6.0,0.8421052631578947,0.5,0.5,0.0
9,0.8947368421052632,1.0,0.9444444444444444,34.0,0.0,0.0,0.0,4.0,0.8947368421052632,0.5,0.5,0.0
mean,0.8789929605719079,0.996875,0.9342300481564534,33.6,0.0,0.0,0.0,4.6,0.8767881241565453,0.4984375,0.4984375,0.0
